-,-,-,-,-,-,-,-,-,-,-,-





'a'













0.24,0.95,-0.03,1.40,1.28,-0.55,0.98,1.98,9,618,8,19
0.24,0.95,-0.03,0.98,0.98,-0.49,0.98,1.46,9,616,7,20
0.24,0.95,-0.04,1.34,1.10,-0.61,0.98,1.84,9,616,7,19
0.24,0.95,-0.03,1.16,1.10,-0.55,0.98,1.69,9,619,7,22
0.24,0.95,-0.04,1.53,1.34,-0.61,0.98,2.12,9,617,8,20
0.24,0.95,-0.03,1.46,1.22,-0.55,0.98,1.98,9,617,7,22
0.24,0.95,-0.03,1.53,1.10,-0.55,0.98,1.96,9,617,8,22
0.24,0.95,-0.04,1.46,1.04,-0.67,0.98,1.92,9,615,6,21
0.24,0.95,-0.03,1.34,1.04,-0.49,0.98,1.77,9,615,5,22
0.24,0.95,-0.03,1.34,1.22,-0.55,0.98,1.90,9,616,8,21
0.24,0.95,-0.03,1.22,1.10,-0.61,0.98,1.75,9,616,5,20
0.24,0.95,-0.03,1.28,1.22,-0.67,0.98,1.89,10,615,7,20
0.24,0.95,-0.03,1.22,1.04,-0.73,0.98,1.76,9,618,6,22
0.24,0.95,-0.04,1.46,1.16,-0.55,0.98,1.95,9,615,6,20
0.24,0.95,-0.03,1.04,1.04,-0.67,0.98,1.61,9,617,7,21
0.24,0.95,-0.03,1.46,1.04,-0.55,0.98,1.88,9,617,9,21
0.24,0.95,-0.04,1.28,1.04,-0.73,0.98,1.80,9,615,7,23
0.24,0.95,-0.03,1.59,1.10,-0.61,0.98,2.02,9,617,7,21
0.24,0.95,-0.03,1.28,1.10,-0.67,0.98,1.82,9,616,8,21
0.24,0.95,-0.03,1.40,1.10,-0.67,0.98,1.90,9,615,8,22
0.24,0.95,-0.03,1.22,1.04,-0.55,0.98,1.69,9,617,8,19
0.24,0.95,-0.03,1.22,1.22,-0.55,0.98,1.81,9,617,8,21
0.24,0.95,-0.03,1.34,1.16,-0.61,0.98,1.88,9,615,7,21
0.24,0.95,-0.03,1.10,1.10,-0.67,0.98,1.69,9,616,7,20
0.24,0.95,-0.03,1.46,1.04,-0.55,0.98,1.88,9,616,7,21
0.24,0.95,-0.03,1.40,1.04,-0.55,0.98,1.83,9,616,7,20
0.24,0.95,-0.03,1.34,1.10,-0.55,0.98,1.82,9,615,6,22
0.24,0.95,-0.03,1.40,1.10,-0.55,0.98,1.87,9,617,8,21
0.24,0.95,-0.04,1.53,1.16,-0.61,0.98,2.01,9,616,7,21
0.24,0.95,-0.03,1.40,1.22,-0.49,0.98,1.92,9,616,7,19
0.24,0.95,-0.03,1.34,1.04,-0.73,0.98,1.85,9,618,7,21
0.24,0.95,-0.03,1.34,1.16,-0.43,0.98,1.82,9,618,8,19
0.24,0.95,-0.03,1.34,1.10,-0.85,0.98,1.93,9,615,7,22
0.24,0.95,-0.03,1.46,1.16,-0.73,0.98,2.01,9,617,7,21
0.24,0.95,-0.03,1.22,1.04,-0.55,0.98,1.69,9,616,8,20
0.24,0.95,-0.03,1.28,0.98,-0.49,0.98,1.68,9,615,7,20
0.24,0.95,-0.03,1.16,0.98,-0.61,0.98,1.63,9,616,7,19
0.24,0.95,-0.03,1.46,1.16,-0.55,0.98,1.95,9,616,8,19
0.24,0.95,-0.03,1.40,1.16,-0.61,0.98,1.92,10,617,5,21
0.24,0.95,-0.03,1.46,1.28,-0.55,0.98,2.02,9,616,8,21
0.24,0.95,-0.03,1.34,0.98,-0.61,0.98,1.77,9,617,8,20
0.24,0.95,-0.03,1.46,1.22,-0.67,0.98,2.02,9,616,6,21
0.23,0.95,-0.03,1.16,1.16,-0.61,0.98,1.75,9,616,9,21
0.24,0.95,-0.03,1.28,1.22,-0.73,0.98,1.92,10,616,8,20
0.24,0.95,-0.04,1.16,1.04,-0.61,0.98,1.67,9,618,9,22
0.24,0.95,-0.03,1.28,1.10,-0.61,0.98,1.80,9,616,8,21
0.24,0.95,-0.03,1.28,1.16,-0.61,0.98,1.83,10,615,7,21
0.24,0.95,-0.03,1.28,1.04,-0.67,0.98,1.78,10,616,6,21
