-,-,-
s
86.09,-5.48,180.47
86.08,-5.48,180.47
86.08,-5.47,180.47
86.08,-5.47,180.47
86.08,-5.47,180.47
86.08,-5.47,180.47
86.08,-5.47,180.47
86.07,-5.47,180.46
86.07,-5.47,180.46
86.06,-5.47,180.46
86.06,-5.47,180.46
86.06,-5.47,180.45
86.05,-5.47,180.45
86.04,-5.47,180.44
86.03,-5.47,180.44
86.03,-5.47,180.43
86.02,-5.48,180.43
86.02,-5.48,180.43
86.03,-5.49,180.43
86.03,-5.49,180.44
86.03,-5.49,180.44
86.03,-5.49,180.44
86.03,-5.49,180.44
86.04,-5.49,180.45
86.04,-5.49,180.45
86.04,-5.49,180.45
86.04,-5.49,180.45
86.05,-5.49,180.45
86.05,-5.49,180.45
86.04,-5.49,180.45
86.04,-5.49,180.44
86.04,-5.49,180.44
86.04,-5.49,180.44
86.03,-5.49,180.44
86.03,-5.50,180.44
86.04,-5.49,180.44
86.04,-5.49,180.44
86.04,-5.49,180.44
86.05,-5.49,180.44
86.05,-5.49,180.44
86.05,-5.49,180.45
86.05,-5.50,180.44
86.04,-5.49,180.43
86.02,-5.50,180.42
86.01,-5.49,180.41
86.00,-5.49,180.40
86.00,-5.49,180.39
86.00,-5.49,180.39
86.01,-5.49,180.38
86.02,-5.48,180.38
86.02,-5.48,180.38
86.02,-5.48,180.38
86.03,-5.48,180.38
86.02,-5.48,180.38
86.02,-5.48,180.38
86.02,-5.48,180.39
86.02,-5.48,180.39
86.02,-5.48,180.39
86.03,-5.48,180.39
86.03,-5.48,180.39
86.03,-5.48,180.38
86.03,-5.47,180.38
86.03,-5.47,180.39
86.03,-5.47,180.39
86.03,-5.47,180.39
86.03,-5.47,180.39
86.03,-5.47,180.38
86.02,-5.47,180.38
86.02,-5.47,180.38
86.01,-5.47,180.37
86.01,-5.47,180.37
86.01,-5.47,180.37
86.01,-5.47,180.37
86.01,-5.47,180.37
86.01,-5.47,180.38
86.02,-5.47,180.37
86.02,-5.47,180.37
86.02,-5.47,180.37
86.02,-5.47,180.37
86.03,-5.47,180.36
86.03,-5.47,180.36
86.03,-5.47,180.36
86.03,-5.46,180.35
86.03,-5.46,180.36
86.04,-5.47,180.36
86.04,-5.47,180.35
86.04,-5.47,180.36
86.04,-5.47,180.36
86.04,-5.47,180.36
86.04,-5.47,180.36
86.03,-5.47,180.36
86.03,-5.47,180.36
86.03,-5.47,180.35
86.02,-5.47,180.35
86.02,-5.47,180.35
86.02,-5.47,180.34
86.01,-5.47,180.33
86.01,-5.47,180.32
86.00,-5.47,180.32
86.00,-5.47,180.32
85.99,-5.47,180.32
85.99,-5.47,180.31
85.98,-5.47,180.31
85.97,-5.47,180.31
85.97,-5.47,180.30
85.96,-5.47,180.30
85.96,-5.48,180.30
85.96,-5.48,180.30
85.96,-5.48,180.30
85.97,-5.48,180.30
85.97,-5.48,180.30
85.97,-5.48,180.30
85.97,-5.48,180.30
85.97,-5.48,180.30
85.97,-5.48,180.30
85.97,-5.48,180.30
85.97,-5.48,180.30
85.98,-5.48,180.30
85.98,-5.48,180.29
85.98,-5.48,180.30
85.99,-5.48,180.30
85.99,-5.48,180.30
85.99,-5.48,180.30
86.00,-5.48,180.30
86.00,-5.48,180.30
86.00,-5.48,180.30
86.00,-5.48,180.30
86.00,-5.48,180.30
86.00,-5.48,180.30
86.00,-5.48,180.30
85.99,-5.48,180.30
85.99,-5.48,180.29
85.99,-5.48,180.30
85.99,-5.48,180.30
85.99,-5.48,180.30
85.99,-5.48,180.29
85.98,-5.49,180.29
85.98,-5.49,180.29
85.98,-5.49,180.29
85.98,-5.49,180.29
85.98,-5.48,180.29
85.98,-5.48,180.29
85.98,-5.48,180.29
85.99,-5.49,180.29
85.98,-5.49,180.29
85.98,-5.49,180.29
85.99,-5.49,180.29
85.99,-5.49,180.30
85.99,-5.49,180.30
85.99,-5.49,180.29
85.99,-5.49,180.30
85.99,-5.49,180.29
85.99,-5.49,180.29
85.98,-5.49,180.29
85.98,-5.49,180.28
85.97,-5.49,180.28
85.97,-5.49,180.27
85.96,-5.49,180.27
85.96,-5.49,180.27
85.96,-5.49,180.26
85.96,-5.50,180.26
85.96,-5.50,180.26
85.96,-5.50,180.26
85.96,-5.50,180.26
85.95,-5.50,180.26
85.96,-5.50,180.26
85.96,-5.50,180.26
85.96,-5.50,180.26
85.97,-5.50,180.27
85.97,-5.50,180.27
85.98,-5.50,180.28
85.97,-5.50,180.28
85.97,-5.50,180.28
85.97,-5.50,180.27
85.96,-5.50,180.27
85.96,-5.50,180.27
85.96,-5.49,180.27
85.96,-5.50,180.27
85.96,-5.50,180.27
85.96,-5.50,180.27
85.96,-5.50,180.26
85.96,-5.50,180.27
85.96,-5.49,180.26
85.96,-5.49,180.26
85.96,-5.49,180.27
85.97,-5.49,180.27
85.97,-5.49,180.27
85.97,-5.49,180.27
85.97,-5.49,180.27
85.97,-5.49,180.26
85.96,-5.49,180.25
85.96,-5.49,180.25
85.95,-5.49,180.24
85.95,-5.49,180.24
85.94,-5.49,180.23
85.94,-5.49,180.23
85.94,-5.50,180.23
85.93,-5.49,180.22
85.93,-5.50,180.22
85.93,-5.50,180.22
85.93,-5.50,180.22
85.92,-5.50,180.22
85.93,-5.49,180.21
85.93,-5.50,180.21
85.93,-5.50,180.21
85.93,-5.50,180.21
85.94,-5.50,180.22
85.94,-5.50,180.22
85.94,-5.50,180.22
85.95,-5.50,180.23
85.95,-5.50,180.23
85.96,-5.50,180.23
85.96,-5.50,180.23
85.96,-5.50,180.23
85.96,-5.50,180.23
85.97,-5.50,180.23
85.97,-5.50,180.23
85.97,-5.50,180.24
85.98,-5.50,180.24
85.99,-5.50,180.24
85.99,-5.50,180.25
86.00,-5.50,180.25
86.01,-5.50,180.26
86.01,-5.50,180.27
86.01,-5.50,180.27
86.01,-5.50,180.26
86.00,-5.50,180.27
86.00,-5.50,180.26
86.00,-5.50,180.26
86.00,-5.50,180.26
85.99,-5.51,180.26
85.99,-5.51,180.26
86.00,-5.51,180.27
86.00,-5.50,180.26
86.00,-5.50,180.26
86.01,-5.51,180.27
86.01,-5.51,180.28
86.02,-5.51,180.28
86.02,-5.51,180.29
86.02,-5.51,180.30
86.02,-5.52,180.31
86.03,-5.52,180.31
86.03,-5.52,180.32
86.04,-5.52,180.32
86.05,-5.52,180.32
86.05,-5.52,180.33
86.06,-5.52,180.33
86.05,-5.52,180.33
86.05,-5.52,180.33
86.04,-5.52,180.33
86.05,-5.52,180.33
86.04,-5.52,180.33
86.04,-5.52,180.32
86.04,-5.52,180.33
86.03,-5.52,180.32
86.03,-5.52,180.32
86.03,-5.52,180.32
86.03,-5.52,180.32
86.03,-5.52,180.32
86.03,-5.52,180.32
86.03,-5.52,180.31
86.03,-5.52,180.31
86.03,-5.52,180.31
86.02,-5.51,180.31
86.02,-5.51,180.30
86.03,-5.51,180.31
86.04,-5.51,180.31
86.05,-5.51,180.31
86.05,-5.51,180.31
86.05,-5.51,180.32
86.06,-5.51,180.32
86.06,-5.51,180.33
86.06,-5.51,180.32
86.07,-5.50,180.32
86.07,-5.50,180.32
86.08,-5.50,180.32
86.08,-5.50,180.33
86.08,-5.50,180.33
86.07,-5.50,180.34
86.07,-5.50,180.34
86.07,-5.50,180.33
86.08,-5.50,180.34
86.08,-5.50,180.33
86.09,-5.50,180.34
86.09,-5.50,180.34
86.09,-5.50,180.35
86.09,-5.50,180.35
86.09,-5.50,180.35
86.10,-5.49,180.35
86.11,-5.49,180.36
86.12,-5.49,180.36
86.13,-5.49,180.37
86.14,-5.49,180.38
86.15,-5.49,180.38
86.15,-5.49,180.38
86.14,-5.49,180.38
86.14,-5.49,180.38
86.14,-5.49,180.38
86.14,-5.49,180.38
86.14,-5.49,180.38
86.13,-5.49,180.38
86.12,-5.50,180.38
86.11,-5.49,180.38
86.11,-5.49,180.38
86.11,-5.49,180.38
86.10,-5.50,180.38
86.10,-5.50,180.38
86.10,-5.50,180.37
86.10,-5.50,180.38
86.09,-5.50,180.38
86.09,-5.50,180.37
86.09,-5.50,180.37
86.10,-5.50,180.37
86.09,-5.50,180.37
86.09,-5.50,180.37
86.09,-5.49,180.37
86.09,-5.50,180.37
86.09,-5.50,180.38
86.09,-5.50,180.38
86.09,-5.50,180.38
86.09,-5.50,180.38
86.09,-5.50,180.38
86.09,-5.50,180.38
86.09,-5.50,180.38
86.10,-5.50,180.38
86.11,-5.50,180.39
86.11,-5.49,180.39
86.12,-5.49,180.40
86.12,-5.50,180.40
86.12,-5.50,180.41
86.12,-5.50,180.40
86.11,-5.50,180.40
86.10,-5.50,180.40
86.09,-5.49,180.39
86.09,-5.49,180.39
86.08,-5.49,180.39
86.09,-5.49,180.39
86.09,-5.49,180.40
86.10,-5.49,180.41
86.11,-5.49,180.41
86.12,-5.49,180.42
86.13,-5.49,180.43
86.13,-5.49,180.43
86.13,-5.49,180.43
86.13,-5.49,180.43
86.13,-5.49,180.43
86.13,-5.49,180.43
86.13,-5.49,180.43
86.14,-5.49,180.43
86.13,-5.49,180.43
86.13,-5.49,180.44
86.13,-5.49,180.43
86.13,-5.49,180.43
86.14,-5.49,180.44
86.13,-5.49,180.44
86.14,-5.49,180.44
86.14,-5.49,180.45
86.14,-5.50,180.45
86.15,-5.50,180.45
86.15,-5.50,180.45
86.16,-5.49,180.46
86.16,-5.50,180.47
86.16,-5.50,180.47
86.16,-5.50,180.48
86.17,-5.50,180.48
86.16,-5.50,180.49
86.16,-5.50,180.49
86.17,-5.50,180.49
86.17,-5.50,180.49
86.18,-5.50,180.50
86.18,-5.50,180.50
86.17,-5.49,180.49
86.17,-5.49,180.49
86.17,-5.49,180.49
86.17,-5.49,180.49
86.17,-5.49,180.49
86.17,-5.49,180.49
86.16,-5.49,180.48
86.15,-5.49,180.48
86.14,-5.49,180.48
86.14,-5.49,180.48
86.14,-5.49,180.48
86.13,-5.49,180.47
86.13,-5.49,180.48
86.12,-5.49,180.48
86.13,-5.49,180.48
86.13,-5.49,180.48
86.14,-5.49,180.49
86.14,-5.49,180.49
86.14,-5.49,180.49
86.15,-5.49,180.49
86.16,-5.49,180.50
86.17,-5.49,180.50
86.17,-5.49,180.51
86.18,-5.49,180.52
86.18,-5.49,180.52
86.19,-5.50,180.53
86.19,-5.50,180.53
86.20,-5.49,180.53
86.20,-5.49,180.53
86.20,-5.49,180.54
86.20,-5.50,180.55
86.19,-5.50,180.56
86.19,-5.50,180.56
86.19,-5.50,180.57
86.20,-5.50,180.58
86.20,-5.50,180.57
