X,Y,Z
72.04,4.42,5.92
72.12,4.99,5.81
72.21,5.63,5.71
72.30,6.32,5.62
72.38,7.07,5.52
72.49,7.91,5.42
72.62,8.82,5.30
72.79,9.83,5.17
73.00,10.92,5.01
73.24,12.10,4.82
73.49,13.37,4.61
73.79,14.78,4.38
74.10,16.33,4.13
74.40,18.06,3.85
74.70,20.06,3.55
74.95,22.35,3.19
75.04,24.93,2.73
74.92,27.76,2.17
74.54,30.81,1.51
73.91,34.02,0.75
73.07,37.29,359.86
72.12,40.55,358.85
71.07,43.70,357.72
69.91,46.71,356.46
68.61,49.55,355.04
67.24,52.35,353.42
65.83,55.04,351.38
64.87,56.65,349.45
64.50,57.09,348.31
64.79,56.72,348.14
65.67,55.67,348.77
66.75,54.12,349.68
67.72,52.29,350.55
68.44,50.40,351.27
68.91,48.59,351.88
69.20,46.85,352.37
69.38,45.10,352.75
69.56,43.24,353.07
69.76,41.25,353.38
69.99,39.18,353.65
70.19,37.04,353.87
70.27,34.82,354.04
70.20,32.53,354.15
69.97,30.19,354.24
69.61,27.83,354.33
69.18,25.47,354.46
68.72,23.13,354.65
68.26,20.78,354.91
67.77,18.42,355.24
67.23,16.06,355.62
66.62,13.72,356.01
65.98,11.43,356.37
65.33,9.21,356.73
64.68,7.05,357.09
64.05,4.95,357.51
63.42,2.89,358.02
62.78,0.90,358.68
62.14,-1.00,359.49
61.46,-2.77,0.44
60.66,-4.40,1.51
59.73,-5.94,2.68
58.67,-7.47,3.96
57.61,-9.00,5.34
56.61,-10.50,6.79
55.63,-11.99,8.32
54.80,-13.37,9.81
54.11,-14.56,11.16
53.52,-15.57,12.27
52.92,-16.48,13.11
52.20,-17.35,13.64
51.36,-18.19,13.90
50.55,-18.96,13.92
49.89,-19.57,13.79
49.53,-19.99,13.57
49.67,-20.12,13.29
50.77,-19.55,12.78
52.39,-18.43,12.00
54.69,-16.81,11.05
57.58,-14.89,10.10
60.03,-12.73,9.40
61.50,-10.35,9.21
62.45,-7.83,9.21
63.11,-5.60,9.24
63.49,-3.91,9.30
63.68,-2.65,9.23
63.78,-1.79,8.98
63.80,-1.16,8.67
63.78,-0.64,8.38
63.76,-0.19,8.15
63.79,0.16,7.98
63.91,0.34,7.91
64.10,0.42,7.87
64.26,0.46,7.85
64.43,0.49,7.83
64.62,0.49,7.81
64.82,0.49,7.79
65.01,0.49,7.78
65.19,0.49,7.77
65.35,0.48,7.76
65.49,0.47,7.75
65.59,0.46,7.76
65.65,0.44,7.76
65.67,0.43,7.78
65.66,0.43,7.80
65.62,0.41,7.82
65.57,0.40,7.86
65.52,0.38,7.89
65.48,0.36,7.92
65.48,0.36,7.95
65.52,0.37,7.96
65.59,0.39,7.96
65.69,0.41,7.94
65.80,0.43,7.92
65.92,0.45,7.91
66.03,0.48,7.89
66.13,0.51,7.88
66.22,0.55,7.87
66.29,0.58,7.86
66.35,0.61,7.85
66.41,0.64,7.84
66.47,0.68,7.83
66.54,0.72,7.82
66.61,0.76,7.80
66.68,0.81,7.78
66.76,0.86,7.76
66.83,0.91,7.73
66.92,0.97,7.70
67.01,1.03,7.66
67.11,1.11,7.61
67.22,1.18,7.55
67.34,1.26,7.48
67.46,1.35,7.40
67.58,1.44,7.29
67.70,1.55,7.16
67.80,1.70,7.01
67.88,1.92,6.85
68.01,2.26,6.69
68.19,2.74,6.53
68.32,3.25,6.37
68.45,3.84,6.23
68.58,4.52,6.09
68.70,5.27,5.95
68.82,6.11,5.79
68.95,7.05,5.60
69.08,8.09,5.39
69.23,9.23,5.16
69.41,10.48,4.90
69.59,11.82,4.61
69.80,13.26,4.27
70.06,14.81,3.90
70.39,16.51,3.46
70.73,18.40,2.95
71.01,20.51,2.34
71.14,22.91,1.62
71.04,25.56,0.76
70.70,28.44,359.77
70.19,31.50,358.66
69.53,34.64,357.45
68.82,37.75,356.16
68.18,40.74,354.84
67.54,43.55,353.45
66.69,46.21,351.97
65.56,48.92,350.22
64.47,51.15,348.09
63.95,52.33,346.40
63.94,52.67,345.76
64.32,52.41,346.11
65.13,51.53,347.10
66.30,50.19,348.38
67.56,48.62,349.71
68.69,47.00,350.96
69.57,45.41,352.11
70.19,43.83,353.11
70.59,42.18,353.99
70.81,40.41,354.77
70.88,38.51,355.48
70.86,36.52,356.11
70.76,34.47,356.68
70.63,32.39,357.17
70.45,30.28,357.63
70.22,28.14,358.06
69.94,25.97,358.48
69.58,23.78,358.89
69.13,21.55,359.31
68.60,19.30,359.75
68.01,17.04,0.20
67.40,14.79,0.66
66.78,12.56,1.12
66.18,10.38,1.56
65.58,8.24,1.97
64.99,6.19,2.35
64.39,4.22,2.69
63.76,2.33,3.04
63.11,0.51,3.40
62.46,-1.24,3.82
61.81,-2.91,4.36
61.11,-4.49,5.04
60.32,-5.99,5.88
59.44,-7.40,6.85
58.48,-8.71,7.94
57.45,-9.96,9.17
56.43,-11.17,10.52
55.50,-12.31,11.97
54.70,-13.37,13.47
54.06,-14.32,14.92
53.52,-15.15,16.25
53.00,-15.90,17.37
52.36,-16.61,18.24
51.60,-17.30,18.84
50.84,-17.96,19.20
50.26,-18.50,19.35
49.96,-18.85,19.32
49.98,-19.01,19.20
50.57,-18.78,18.97
52.03,-17.85,18.42
53.91,-16.59,17.82
56.66,-14.95,17.16
59.61,-13.02,16.54
61.50,-10.79,16.28
62.62,-8.44,16.36
63.42,-6.28,16.41
63.94,-4.65,16.41
64.28,-3.40,16.25
64.49,-2.51,15.94
64.58,-1.83,15.62
64.55,-1.28,15.37
64.49,-0.83,15.21
64.44,-0.47,15.10
64.41,-0.20,15.02
64.44,-0.05,14.96
64.51,0.03,14.92
64.57,0.08,14.92
64.66,0.12,14.91
64.78,0.16,14.89
64.90,0.18,14.87
65.01,0.19,14.86
65.10,0.20,14.85
65.15,0.20,14.85
65.18,0.21,14.86
65.17,0.22,14.87
65.13,0.23,14.88
65.06,0.24,14.90
64.96,0.25,14.91
64.85,0.25,14.92
64.74,0.26,14.93
64.65,0.27,14.93
64.58,0.28,14.93
64.54,0.30,14.92
64.53,0.33,14.91
64.55,0.36,14.89
64.57,0.39,14.87
64.59,0.42,14.85
64.62,0.44,14.83
64.63,0.47,14.82
64.65,0.49,14.81
64.66,0.51,14.80
64.68,0.54,14.79
64.70,0.57,14.78
64.73,0.61,14.77
64.77,0.64,14.77
64.82,0.68,14.76
64.88,0.72,14.76
64.95,0.77,14.76
65.03,0.82,14.75
65.11,0.88,14.74
65.18,0.94,14.72
65.25,1.01,14.69
65.33,1.08,14.64
65.40,1.16,14.58
65.46,1.25,14.50
