-,-,-
75.93,-21.03,145.21
75.94,-20.98,145.21
75.96,-20.92,145.19
75.99,-20.86,145.18
75.98,-20.76,145.17
75.99,-20.65,145.16
75.98,-20.50,145.15
76.01,-20.34,145.13
76.00,-20.13,145.15
75.98,-19.88,145.17
75.94,-19.61,145.20
75.88,-19.31,145.23
75.83,-18.99,145.26
75.78,-18.64,145.29
75.79,-18.29,145.29
75.78,-17.91,145.30
75.81,-17.50,145.29
75.88,-17.04,145.28
75.95,-16.56,145.26
76.03,-16.07,145.22
76.15,-15.55,145.16
76.25,-15.05,145.07
76.27,-14.57,144.91
76.29,-14.13,144.69
76.30,-13.73,144.43
76.28,-13.43,144.13
76.34,-13.18,143.90
76.52,-12.98,143.78
76.66,-12.93,143.76
76.72,-12.92,143.81
76.73,-12.90,143.89
76.73,-12.88,143.99
76.76,-12.86,144.10
76.80,-12.84,144.19
76.85,-12.81,144.24
76.89,-12.74,144.26
76.92,-12.65,144.25
76.95,-12.57,144.21
76.96,-12.53,144.16
76.97,-12.51,144.12
76.97,-12.51,144.09
76.95,-12.52,144.08
76.92,-12.53,144.11
76.87,-12.54,144.18
76.82,-12.53,144.28
76.75,-12.49,144.40
76.67,-12.45,144.55
76.60,-12.41,144.70
76.55,-12.38,144.85
76.49,-12.38,145.01
76.35,-12.41,145.15
76.17,-12.39,145.29
76.08,-12.36,145.41
76.05,-12.34,145.53
76.03,-12.32,145.66
76.00,-12.32,145.76
75.94,-12.31,145.85
75.83,-12.28,145.93
75.73,-12.27,146.01
75.66,-12.31,146.08
75.58,-12.39,146.16
75.50,-12.53,146.23
75.45,-12.74,146.28
75.40,-12.97,146.34
75.26,-13.15,146.40
75.13,-13.35,146.47
75.07,-13.56,146.52
75.11,-13.87,146.56
75.13,-14.21,146.58
75.05,-14.49,146.59
74.97,-14.80,146.61
75.02,-15.17,146.59
75.13,-15.60,146.57
75.22,-16.08,146.53
75.26,-16.60,146.47
75.32,-17.14,146.40
75.41,-17.72,146.32
75.50,-18.34,146.25
75.55,-19.01,146.19
75.53,-19.72,146.17
75.44,-20.42,146.17
75.30,-21.10,146.22
75.16,-21.75,146.30
75.02,-22.35,146.40
74.86,-22.90,146.53
74.69,-23.42,146.67
74.55,-23.91,146.82
74.45,-24.37,146.97
74.38,-24.80,147.12
74.32,-25.18,147.26
74.29,-25.50,147.42
74.27,-25.75,147.58
74.28,-25.96,147.76
74.31,-26.13,147.93
74.36,-26.28,148.08
74.40,-26.41,148.22
74.43,-26.53,148.35
74.45,-26.65,148.47
74.48,-26.75,148.59
74.50,-26.82,148.73
74.48,-26.85,148.89
74.42,-26.84,149.08
74.34,-26.76,149.28
74.23,-26.64,149.50
74.14,-26.46,149.72
74.06,-26.23,149.95
74.03,-25.97,150.17
74.03,-25.67,150.40
74.10,-25.35,150.59
74.26,-25.02,150.75
74.49,-24.66,150.86
74.76,-24.28,150.91
75.04,-23.86,150.93
75.39,-23.33,150.90
75.82,-23.17,150.89
76.04,-23.43,150.91
75.98,-23.74,150.90
75.91,-23.94,150.93
75.89,-24.11,151.00
76.00,-24.42,151.05
76.02,-24.60,151.10
75.99,-24.71,151.16
75.98,-24.80,151.20
75.97,-24.81,151.24
75.95,-24.76,151.26
75.98,-24.67,151.27
76.02,-24.55,151.25
76.06,-24.38,151.21
76.06,-24.16,151.16
76.05,-23.93,151.11
76.02,-23.72,151.07
75.99,-23.56,151.03
76.00,-23.46,151.00
75.95,-23.40,150.98
75.85,-23.36,150.98
75.71,-23.34,151.00
75.51,-23.35,151.05
75.26,-23.40,151.12
75.01,-23.48,151.17
74.82,-23.58,151.23
74.66,-23.71,151.29
74.52,-23.85,151.33
74.42,-23.98,151.34
74.35,-24.11,151.32
74.32,-24.23,151.29
74.30,-24.32,151.24
74.26,-24.38,151.20
74.20,-24.42,151.17
74.16,-24.47,151.15
74.14,-24.53,151.14
74.14,-24.60,151.13
74.16,-24.66,151.11
74.20,-24.71,151.09
74.27,-24.76,151.06
74.36,-24.80,151.02
74.46,-24.83,150.97
74.58,-24.85,150.92
74.71,-24.88,150.86
74.86,-24.92,150.80
75.01,-24.96,150.73
75.16,-25.01,150.65
75.32,-25.05,150.58
75.45,-25.09,150.51
75.58,-25.12,150.45
75.71,-25.14,150.40
75.83,-25.15,150.34
75.95,-25.15,150.29
76.06,-25.15,150.23
76.16,-25.14,150.19
76.24,-25.11,150.16
76.31,-25.06,150.14
76.35,-24.98,150.12
76.38,-24.87,150.11
76.39,-24.75,150.11
76.37,-24.62,150.12
76.33,-24.48,150.14
76.28,-24.34,150.15
76.24,-24.21,150.16
76.22,-24.09,150.16
76.22,-23.99,150.15
76.22,-23.88,150.14
76.22,-23.78,150.11
76.22,-23.69,150.07
76.23,-23.61,150.03
76.26,-23.55,149.99
76.28,-23.50,149.95
76.34,-23.47,149.90
