-,-,-,-,-,-,-,-,-,-,-,-
'w'
0.10,0.98,0.10,3.60,-0.06,-2.14,0.99,4.19,52,538,53,110
0.10,0.99,0.10,-1.16,0.24,-1.40,1.00,1.84,70,545,60,116
0.10,0.99,0.10,-1.53,0.24,-1.16,1.00,1.93,77,552,65,110
0.10,0.99,0.09,-1.89,0.18,-1.10,1.00,2.20,92,564,74,110
0.10,0.99,0.09,-1.77,-0.06,-2.50,1.00,3.07,85,580,78,98
0.10,0.99,0.09,-1.83,-0.49,-4.21,1.00,4.62,86,601,83,85
0.10,0.99,0.09,-1.28,-0.79,-5.19,1.00,5.40,88,622,91,69
0.11,1.00,0.09,-1.10,-0.92,-5.92,1.01,6.09,95,641,97,60
0.11,0.99,0.09,0.79,-1.10,-5.92,1.00,6.07,104,656,105,49
0.11,1.03,0.09,3.54,-1.71,-7.26,1.04,8.26,108,676,111,39
0.13,1.09,0.08,18.92,-4.39,-16.36,1.10,25.39,109,699,116,26
0.13,1.03,0.09,27.16,-6.41,-21.18,1.05,35.03,97,727,124,17
0.15,1.14,0.12,31.62,-8.61,-24.23,1.15,40.75,85,753,129,6
0.10,1.15,0.38,32.35,-11.90,-33.33,1.21,47.94,60,775,137,2
0.14,1.09,0.22,21.48,-3.48,-65.73,1.12,69.24,36,796,134,0
0.18,1.24,0.24,8.42,2.62,-84.53,1.28,84.99,21,808,135,0
0.28,1.79,0.05,4.64,4.46,-117.07,1.81,117.24,14,816,135,0
0.28,2.00,0.02,38.57,-10.99,-206.67,2.02,210.52,8,804,119,0
0.10,2.45,0.10,58.78,-16.54,-292.48,2.45,298.79,4,787,82,0
0.51,1.57,-0.49,37.72,-12.45,-359.86,1.72,362.05,2,772,35,0
-0.92,2.21,-0.27,-55.42,-70.62,-303.34,2.40,316.35,1,751,5,2
-1.11,0.59,-0.57,58.11,-86.49,-78.00,1.38,130.16,0,0,2,4
-0.88,0.61,-0.35,21.06,-39.49,56.95,1.13,72.43,0,0,2,3
-0.67,0.04,-0.57,-9.95,-39.73,106.32,0.88,113.94,0,0,0,4
-0.84,0.32,-0.21,-82.64,-37.66,119.32,0.92,149.95,0,0,0,5
-0.78,0.61,-0.04,-98.82,-8.85,171.51,0.99,198.14,0,0,1,3
