-,-,-,-,-,-,-,-,-,-,-,-
'a'
0.13,0.97,0.02,1.10,1.10,-0.31,0.98,1.58,15,503,16,45
0.13,0.98,0.02,1.16,0.98,-0.37,0.99,1.56,14,503,16,47
0.13,0.97,0.02,1.40,1.04,-0.18,0.98,1.76,13,503,16,47
0.13,0.97,0.02,1.46,1.04,-0.37,0.98,1.83,14,504,15,46
0.13,0.97,0.02,1.77,0.98,-0.43,0.98,2.07,14,499,15,49
0.13,0.97,0.02,1.59,0.73,-0.43,0.98,1.80,13,499,15,48
0.13,0.97,0.02,2.14,1.10,-0.55,0.98,2.46,13,503,16,49
0.13,0.98,0.02,1.89,1.10,-0.43,0.99,2.23,13,500,14,47
0.14,0.97,0.02,1.89,1.16,-0.37,0.98,2.25,12,503,16,48
0.13,0.97,0.03,1.89,1.34,-0.49,0.98,2.37,13,501,15,49
0.13,0.97,0.02,1.77,1.10,-0.43,0.98,2.13,12,501,14,47
0.13,0.97,0.02,1.71,0.92,-0.55,0.98,2.02,12,501,18,47
0.13,0.97,0.03,1.95,1.16,-0.61,0.98,2.35,13,503,15,47
0.13,0.97,0.03,1.89,0.98,-0.73,0.98,2.25,13,502,16,46
0.13,0.97,0.03,1.65,1.10,-0.67,0.98,2.09,12,504,15,48
0.13,0.97,0.03,1.46,1.22,-0.85,0.98,2.09,13,501,16,47
0.13,0.97,0.03,1.46,1.04,-0.73,0.98,1.94,12,501,16,45
0.13,0.97,0.03,1.40,1.16,-0.79,0.98,1.99,13,501,17,48
0.13,0.97,0.03,1.10,1.16,-0.67,0.98,1.73,14,501,14,48
0.13,0.97,0.03,1.10,1.16,-0.55,0.98,1.69,14,505,16,47
0.13,0.97,0.03,1.22,1.16,-0.55,0.98,1.77,14,504,17,46
0.13,0.98,0.03,1.22,1.10,-0.31,0.99,1.67,14,502,16,49
0.13,0.97,0.03,1.04,1.16,-0.31,0.98,1.59,14,502,15,47
0.13,0.98,0.02,1.10,1.22,-0.31,0.99,1.67,14,504,18,49
0.13,0.97,0.03,1.46,0.98,-0.43,0.98,1.81,14,500,15,47
0.13,0.97,0.02,1.53,1.04,-0.61,0.98,1.94,14,501,15,48
0.13,0.97,0.03,1.77,1.04,-0.85,0.98,2.22,13,503,15,48
0.13,0.97,0.03,1.59,0.98,-0.85,0.98,2.05,14,501,17,48
0.13,0.97,0.03,1.83,1.16,-0.73,0.98,2.29,14,503,15,48
0.13,0.97,0.03,1.65,0.98,-0.61,0.98,2.01,14,503,17,49
0.13,0.97,0.03,1.65,1.04,-0.55,0.98,2.02,14,502,16,48
