X,Y,Z
77.03,-6.83,178.34
77.02,-6.79,178.35
77.00,-6.75,178.35
76.98,-6.71,178.36
76.96,-6.66,178.37
76.94,-6.62,178.39
76.91,-6.57,178.40
76.89,-6.52,178.41
76.89,-6.46,178.44
76.89,-6.40,178.46
76.89,-6.32,178.48
76.90,-6.25,178.50
76.91,-6.19,178.53
76.93,-6.12,178.56
76.96,-6.05,178.59
77.00,-5.99,178.61
77.04,-5.92,178.64
77.09,-5.86,178.66
77.16,-5.79,178.69
77.23,-5.72,178.71
77.31,-5.65,178.72
77.41,-5.57,178.73
77.54,-5.48,178.73
77.67,-5.39,178.72
77.80,-5.29,178.71
77.94,-5.19,178.68
78.07,-5.10,178.66
78.19,-5.00,178.63
78.30,-4.90,178.61
78.40,-4.81,178.58
78.48,-4.70,178.55
78.55,-4.60,178.52
78.61,-4.50,178.49
78.67,-4.39,178.45
78.70,-4.25,178.42
78.69,-4.09,178.39
78.64,-3.92,178.37
78.58,-3.71,178.36
78.51,-3.43,178.34
78.46,-3.09,178.32
78.41,-2.73,178.30
78.36,-2.35,178.28
78.31,-1.92,178.25
78.29,-1.47,178.22
78.24,-1.01,178.19
78.19,-0.52,178.16
78.17,0.01,178.13
78.19,0.59,178.11
78.24,1.22,178.08
78.31,1.93,178.03
78.41,2.71,177.98
78.54,3.56,177.92
78.68,4.48,177.87
78.83,5.48,177.80
79.00,6.56,177.74
79.17,7.72,177.67
79.33,8.97,177.60
79.50,10.31,177.52
79.65,11.74,177.43
79.76,13.27,177.32
79.82,14.90,177.19
79.78,16.63,177.05
79.57,18.44,176.89
79.15,20.32,176.69
78.54,22.25,176.45
77.73,24.20,176.14
76.82,26.14,175.77
75.95,28.06,175.33
75.18,29.93,174.85
74.53,31.74,174.32
73.98,33.54,173.76
73.43,35.35,173.15
72.79,37.17,172.46
72.03,39.03,171.69
71.15,40.98,170.81
70.20,43.04,169.81
69.19,45.22,168.70
67.97,47.12,167.33
66.78,48.37,165.99
65.77,48.94,165.03
65.18,48.88,164.64
65.09,48.24,164.83
65.55,47.12,165.50
66.54,45.63,166.54
67.65,43.84,167.68
68.64,41.92,168.76
69.37,39.96,169.72
69.80,37.97,170.54
69.97,35.93,171.20
69.95,33.82,171.72
69.82,31.66,172.12
69.66,29.45,172.44
69.53,27.20,172.74
69.44,24.91,173.04
69.39,22.60,173.34
69.35,20.30,173.64
69.30,18.02,173.96
69.21,15.75,174.30
69.06,13.47,174.67
68.85,11.17,175.05
68.61,8.88,175.44
68.32,6.58,175.85
67.99,4.26,176.27
67.63,1.95,176.69
67.25,-0.33,177.13
66.86,-2.55,177.59
66.46,-4.68,178.13
66.06,-6.75,178.76
65.65,-8.78,179.50
65.19,-10.76,180.32
64.66,-12.63,181.21
64.05,-14.37,182.16
63.37,-16.00,183.17
62.66,-17.56,184.24
61.93,-19.07,185.34
61.21,-20.54,186.45
60.49,-21.95,187.54
59.79,-23.30,188.60
59.11,-24.57,189.59
58.50,-25.74,190.51
57.86,-26.88,191.37
57.13,-27.99,192.22
56.22,-29.03,193.11
55.23,-29.92,194.02
54.29,-30.66,194.95
53.41,-31.30,195.88
52.61,-31.90,196.76
51.92,-32.48,197.52
51.32,-33.03,198.12
50.82,-33.54,198.57
50.44,-33.95,198.91
50.20,-34.25,199.15
50.06,-34.44,199.31
49.97,-34.53,199.41
49.89,-34.52,199.49
50.05,-34.19,199.36
50.35,-33.48,199.04
50.96,-32.55,198.57
51.89,-31.48,197.94
52.97,-30.42,197.27
54.08,-29.37,196.58
55.21,-28.28,195.85
56.35,-27.16,195.11
57.48,-26.01,194.42
58.54,-24.84,193.82
59.47,-23.68,193.35
60.28,-22.55,193.01
60.97,-21.50,192.76
61.52,-20.54,192.60
61.95,-19.66,192.49
62.24,-18.84,192.39
62.44,-18.09,192.28
62.59,-17.39,192.15
62.70,-16.73,191.99
62.80,-16.12,191.82
62.88,-15.53,191.66
62.97,-14.95,191.51
63.05,-14.37,191.38
63.16,-13.81,191.26
63.27,-13.26,191.15
63.39,-12.70,191.02
63.50,-12.14,190.88
63.60,-11.57,190.72
63.70,-11.02,190.56
63.78,-10.48,190.41
63.85,-9.96,190.27
63.90,-9.47,190.14
63.94,-9.00,190.01
63.97,-8.56,189.89
63.97,-8.14,189.77
63.98,-7.76,189.65
63.99,-7.40,189.54
63.99,-7.05,189.44
63.99,-6.73,189.35
64.01,-6.43,189.27
64.03,-6.16,189.19
64.04,-5.89,189.11
64.05,-5.62,189.04
64.05,-5.36,188.97
64.07,-5.13,188.91
64.09,-4.92,188.86
64.11,-4.73,188.80
64.14,-4.56,188.76
64.18,-4.41,188.71
64.22,-4.26,188.67
64.26,-4.12,188.63
64.30,-3.99,188.59
64.33,-3.85,188.55
64.35,-3.72,188.50
64.38,-3.57,188.46
64.40,-3.43,188.41
64.43,-3.27,188.36
64.48,-3.11,188.32
64.54,-2.95,188.27
64.61,-2.81,188.24
64.68,-2.70,188.21
64.77,-2.60,188.19
64.86,-2.51,188.18
64.96,-2.42,188.17
65.08,-2.34,188.17
65.23,-2.25,188.16
65.40,-2.16,188.15
65.58,-2.07,188.13
65.77,-2.00,188.12
65.94,-1.93,188.10
66.10,-1.86,188.08
66.23,-1.81,188.06
66.34,-1.75,188.05
66.43,-1.71,188.03
66.49,-1.68,188.01
66.52,-1.66,188.00
66.54,-1.64,187.99
66.55,-1.64,187.99
66.56,-1.64,187.98
66.56,-1.64,187.98
66.57,-1.65,187.97
66.59,-1.65,187.96
66.62,-1.67,187.95
66.65,-1.68,187.94
66.68,-1.69,187.92
66.73,-1.71,187.90
66.77,-1.73,187.88
66.83,-1.75,187.86
66.88,-1.77,187.84
66.94,-1.79,187.81
66.99,-1.81,187.79
67.05,-1.83,187.76
67.11,-1.86,187.74
67.17,-1.89,187.72
67.24,-1.92,187.69
67.31,-1.96,187.67
67.38,-2.00,187.64
67.47,-2.04,187.61
67.55,-2.09,187.58
67.63,-2.13,187.54
67.69,-2.18,187.51
67.74,-2.23,187.48
67.77,-2.27,187.46
67.80,-2.32,187.43
67.83,-2.37,187.41
67.87,-2.42,187.38
67.93,-2.47,187.36
67.99,-2.53,187.33
68.05,-2.59,187.30
68.12,-2.64,187.27
68.18,-2.70,187.24
68.24,-2.75,187.21
68.30,-2.81,187.18
68.36,-2.86,187.15
68.41,-2.91,187.13
68.46,-2.96,187.10
68.50,-3.00,187.07
68.54,-3.05,187.04
68.57,-3.10,187.02
68.60,-3.14,187.00
68.62,-3.19,186.97
68.64,-3.24,186.94
68.66,-3.28,186.90
68.68,-3.33,186.87
68.71,-3.37,186.83
68.74,-3.42,186.80
68.78,-3.46,186.76
68.82,-3.49,186.72
68.86,-3.53,186.68
68.89,-3.57,186.64
68.93,-3.61,186.60
68.96,-3.66,186.56
68.98,-3.70,186.53
69.00,-3.74,186.49
69.02,-3.78,186.45
