X,Y,Z
76.83,-5.58,180.71
76.88,-5.53,180.73
76.92,-5.49,180.75
76.96,-5.45,180.77
76.99,-5.41,180.78
77.01,-5.37,180.80
77.03,-5.33,180.82
77.05,-5.29,180.84
77.07,-5.25,180.85
77.07,-5.19,180.86
77.08,-5.15,180.87
77.07,-5.09,180.88
77.06,-5.03,180.88
77.06,-4.96,180.89
77.06,-4.89,180.90
77.06,-4.82,180.90
77.06,-4.74,180.90
77.06,-4.65,180.90
77.05,-4.56,180.89
77.01,-4.46,180.88
76.98,-4.38,180.88
76.93,-4.29,180.88
76.88,-4.19,180.87
76.83,-4.09,180.85
76.76,-3.97,180.83
76.76,-3.83,180.81
76.76,-3.65,180.79
76.80,-3.41,180.75
76.87,-3.14,180.71
76.95,-2.85,180.65
77.07,-2.52,180.59
77.20,-2.14,180.51
77.36,-1.73,180.42
77.52,-1.27,180.32
77.69,-0.75,180.21
77.86,-0.18,180.11
78.07,0.45,180.00
78.27,1.13,179.90
78.49,1.87,179.80
78.72,2.66,179.70
78.97,3.51,179.59
79.25,4.42,179.48
79.55,5.41,179.37
79.86,6.47,179.24
80.16,7.61,179.09
80.46,8.83,178.92
80.75,10.13,178.74
81.01,11.51,178.53
81.21,12.97,178.29
81.33,14.51,178.02
81.36,16.12,177.71
81.22,17.81,177.35
80.95,19.56,176.94
80.55,21.36,176.47
80.01,23.20,175.94
79.34,25.07,175.32
78.55,26.97,174.64
77.62,28.88,173.87
76.55,30.77,172.99
75.42,32.65,172.02
74.22,34.54,170.96
72.92,36.45,169.80
71.49,38.34,168.53
69.94,40.21,167.12
68.27,42.09,165.57
66.50,43.97,163.84
64.60,45.76,161.88
62.68,47.38,159.72
61.05,48.62,157.58
59.91,49.38,155.76
59.38,49.51,154.71
59.55,48.98,154.69
60.31,47.77,155.59
61.57,46.03,157.13
63.09,43.86,159.02
64.49,41.63,160.91
65.58,39.53,162.66
66.28,37.61,164.23
66.66,35.85,165.64
66.84,34.13,166.91
66.93,32.38,168.10
67.17,30.47,169.33
67.65,28.38,170.63
68.30,26.17,171.95
68.97,23.88,173.24
69.54,21.53,174.42
69.90,19.18,175.46
70.01,16.86,176.36
69.91,14.58,177.11
69.71,12.33,177.77
69.51,10.09,178.38
69.42,7.84,178.98
69.47,5.59,179.60
69.60,3.38,180.23
69.73,1.24,180.84
69.78,-0.84,181.46
69.76,-2.85,182.10
69.66,-4.80,182.78
69.52,-6.67,183.52
69.33,-8.49,184.33
69.04,-10.27,185.20
68.62,-11.98,186.13
68.09,-13.64,187.10
67.49,-15.25,188.08
66.89,-16.76,189.05
66.35,-18.16,189.93
65.86,-19.49,190.70
65.39,-20.75,191.35
64.96,-21.92,191.87
64.59,-22.96,192.27
64.26,-23.88,192.57
63.93,-24.68,192.84
63.57,-25.38,193.13
63.17,-26.13,193.48
62.63,-26.96,193.93
61.95,-27.72,194.48
61.25,-28.37,195.08
60.66,-29.02,195.70
60.16,-29.78,196.31
59.65,-30.56,196.86
59.18,-31.18,197.24
58.84,-31.55,197.47
58.67,-31.81,197.64
58.61,-32.00,197.76
58.74,-31.89,197.76
58.95,-31.56,197.64
59.39,-31.08,197.40
60.05,-30.48,197.04
60.93,-29.73,196.55
61.96,-28.73,195.94
63.06,-27.55,195.28
64.10,-26.35,194.68
64.99,-25.15,194.19
65.75,-23.91,193.82
66.42,-22.66,193.55
66.90,-21.42,193.39
67.18,-20.22,193.34
67.34,-19.12,193.32
67.43,-18.13,193.27
67.47,-17.22,193.18
67.46,-16.40,193.06
67.42,-15.67,192.92
67.36,-15.04,192.80
67.30,-14.49,192.69
67.25,-13.99,192.60
67.22,-13.52,192.51
67.22,-13.05,192.43
67.24,-12.59,192.34
67.29,-12.13,192.23
67.36,-11.65,192.12
67.43,-11.14,191.99
67.51,-10.60,191.85
67.58,-10.05,191.70
67.65,-9.47,191.55
67.70,-8.91,191.39
67.74,-8.35,191.24
67.77,-7.81,191.08
67.79,-7.30,190.93
67.80,-6.83,190.77
67.81,-6.40,190.62
67.82,-6.02,190.49
67.82,-5.66,190.36
67.83,-5.34,190.25
67.85,-5.05,190.15
67.89,-4.79,190.05
67.93,-4.56,189.97
67.97,-4.35,189.89
68.01,-4.18,189.82
68.05,-4.03,189.76
68.10,-3.90,189.70
68.14,-3.77,189.64
68.19,-3.66,189.59
68.24,-3.57,189.55
