X,Y,Z
76.61,-6.33,174.44
76.63,-6.33,174.43
76.63,-6.32,174.43
76.63,-6.32,174.42
76.63,-6.30,174.42
76.62,-6.28,174.42
76.62,-6.25,174.42
76.62,-6.21,174.43
76.64,-6.18,174.43
76.65,-6.13,174.43
76.65,-6.07,174.43
76.65,-6.01,174.44
76.63,-5.95,174.45
76.61,-5.89,174.47
76.59,-5.83,174.49
76.56,-5.76,174.51
76.55,-5.70,174.54
76.54,-5.63,174.56
76.54,-5.56,174.58
76.54,-5.49,174.61
76.55,-5.41,174.63
76.56,-5.34,174.65
76.57,-5.26,174.68
76.57,-5.19,174.70
76.58,-5.11,174.73
76.59,-5.03,174.75
76.61,-4.96,174.77
76.64,-4.89,174.79
76.67,-4.83,174.81
76.70,-4.74,174.83
76.73,-4.65,174.84
76.75,-4.55,174.84
76.78,-4.44,174.84
76.81,-4.33,174.84
76.82,-4.23,174.84
76.83,-4.13,174.83
76.84,-4.04,174.82
76.82,-3.93,174.81
76.80,-3.83,174.78
76.78,-3.71,174.76
76.75,-3.58,174.73
76.78,-3.36,174.71
76.77,-3.12,174.69
76.78,-2.89,174.66
76.77,-2.63,174.63
76.76,-2.34,174.61
76.74,-2.03,174.59
76.75,-1.71,174.57
76.74,-1.38,174.56
76.74,-1.01,174.54
76.75,-0.60,174.54
76.79,-0.16,174.54
76.83,0.30,174.53
76.89,0.80,174.52
76.99,1.36,174.50
77.11,1.99,174.48
77.27,2.70,174.44
77.46,3.50,174.38
77.67,4.38,174.31
77.91,5.35,174.23
78.18,6.41,174.14
78.46,7.59,174.04
78.76,8.87,173.93
79.05,10.28,173.80
79.35,11.79,173.65
79.66,13.42,173.51
79.90,15.16,173.34
80.10,17.02,173.16
80.23,18.99,172.98
80.27,21.05,172.80
80.24,23.17,172.62
80.20,25.33,172.44
80.15,27.48,172.28
80.07,29.62,172.10
80.00,31.71,171.92
79.87,33.72,171.71
79.67,35.75,171.47
79.38,37.78,171.21
78.95,39.78,170.90
78.37,41.80,170.51
77.60,43.87,170.02
76.72,46.00,169.44
75.65,48.11,168.68
74.38,50.02,167.71
72.84,51.82,166.42
71.51,53.02,165.24
70.73,53.40,164.58
70.29,52.87,164.32
70.39,51.70,164.61
70.89,50.04,165.32
71.68,47.98,166.31
72.71,45.67,167.46
73.69,43.25,168.56
74.51,40.84,169.55
75.08,38.48,170.41
75.47,36.21,171.13
75.73,33.98,171.72
75.96,31.75,172.22
76.34,29.49,172.74
76.71,27.17,173.19
76.98,24.74,173.57
77.11,22.22,173.92
77.13,19.65,174.24
77.08,17.07,174.53
76.98,14.55,174.78
76.80,12.10,174.96
76.52,9.67,175.08
76.16,7.26,175.12
75.81,4.92,175.13
75.58,2.65,175.10
75.51,0.44,175.04
75.54,-1.69,174.97
75.53,-3.80,174.90
75.41,-5.89,174.86
75.14,-7.92,174.90
74.74,-9.91,175.10
74.26,-11.84,175.48
73.70,-13.69,176.06
73.04,-15.46,176.86
72.24,-17.17,177.81
71.29,-18.81,178.82
70.25,-20.31,179.82
69.27,-21.66,180.77
68.53,-23.01,181.64
68.02,-24.33,182.44
67.79,-25.47,183.12
67.65,-26.58,183.66
67.50,-27.65,184.06
67.21,-28.66,184.40
66.71,-29.58,184.78
66.11,-30.34,185.25
65.51,-30.90,185.83
64.99,-31.26,186.45
64.67,-31.40,187.03
64.57,-31.36,187.47
64.74,-31.12,187.72
65.13,-30.64,187.74
65.73,-29.86,187.52
66.45,-28.85,187.20
67.18,-27.85,186.93
67.85,-26.85,186.75
68.46,-25.84,186.68
69.01,-24.82,186.71
69.37,-23.81,186.83
69.57,-22.85,186.99
69.65,-21.99,187.11
69.67,-21.22,187.11
69.65,-20.53,187.02
69.57,-19.91,186.85
69.45,-19.35,186.66
69.31,-18.84,186.49
69.17,-18.35,186.35
69.07,-17.85,186.23
69.01,-17.33,186.15
69.00,-16.78,186.07
69.05,-16.21,185.99
69.13,-15.62,185.91
69.25,-15.00,185.83
69.37,-14.39,185.74
69.48,-13.78,185.63
69.58,-13.20,185.52
69.64,-12.65,185.40
69.68,-12.13,185.26
69.69,-11.63,185.13
69.68,-11.17,185.00
69.66,-10.72,184.88
69.63,-10.29,184.77
69.61,-9.87,184.66
69.59,-9.47,184.55
69.58,-9.09,184.45
69.60,-8.76,184.34
69.63,-8.48,184.24
69.66,-8.22,184.15
69.68,-7.98,184.07
69.70,-7.74,183.98
69.74,-7.49,183.91
69.79,-7.26,183.84
69.86,-7.03,183.78
69.97,-6.83,183.74
70.12,-6.66,183.72
70.30,-6.51,183.70
70.46,-6.40,183.67
70.59,-6.28,183.63
70.70,-6.19,183.59
70.81,-6.10,183.55
70.88,-6.02,183.50
70.94,-5.95,183.45
70.95,-5.89,183.41
70.94,-5.84,183.37
70.91,-5.79,183.33
70.87,-5.74,183.29
70.83,-5.69,183.26
70.81,-5.65,183.22
70.79,-5.60,183.19
70.77,-5.54,183.15
70.77,-5.49,183.10
70.75,-5.44,183.06
70.74,-5.39,183.01
70.71,-5.35,182.96
70.68,-5.30,182.91
70.66,-5.26,182.86
70.63,-5.23,182.81
70.62,-5.20,182.77
70.60,-5.17,182.72
70.59,-5.15,182.66
70.58,-5.13,182.61
70.58,-5.12,182.55
70.58,-5.11,182.49
70.60,-5.11,182.43
70.61,-5.10,182.37
70.64,-5.10,182.30
70.66,-5.10,182.24
70.68,-5.11,182.17
70.68,-5.13,182.11
70.66,-5.16,182.05
70.61,-5.20,181.99
70.59,-5.27,181.95
70.58,-5.34,181.91
70.57,-5.43,181.87
70.58,-5.51,181.82
70.58,-5.59,181.77
70.58,-5.67,181.72
70.56,-5.76,181.68
70.52,-5.86,181.65
70.47,-5.97,181.62
70.41,-6.08,181.59
70.35,-6.20,181.57
70.30,-6.32,181.55
70.26,-6.44,181.53
70.24,-6.54,181.50
70.24,-6.61,181.46
70.26,-6.66,181.41
70.29,-6.69,181.36
70.32,-6.70,181.30
70.33,-6.70,181.25
70.35,-6.70,181.20
70.35,-6.70,181.16
70.34,-6.71,181.11
70.33,-6.71,181.07
70.33,-6.72,181.03
70.31,-6.74,180.99
70.31,-6.77,180.95
70.30,-6.80,180.91
70.29,-6.85,180.88
70.28,-6.90,180.84
70.27,-6.96,180.81
70.26,-7.03,180.78
70.25,-7.09,180.75
70.25,-7.15,180.72
70.26,-7.20,180.68
70.26,-7.26,180.65
70.27,-7.32,180.61
70.28,-7.38,180.57
70.30,-7.43,180.52
70.33,-7.48,180.48
70.36,-7.54,180.43
70.39,-7.58,180.38
70.42,-7.62,180.33
70.43,-7.65,180.28
70.44,-7.68,180.23
70.44,-7.70,180.18
70.43,-7.71,180.14
70.42,-7.72,180.10
70.40,-7.73,180.06
70.38,-7.73,180.03
70.36,-7.74,179.99
70.35,-7.74,179.95
70.35,-7.73,179.92
70.36,-7.73,179.88
70.37,-7.73,179.84
70.39,-7.72,179.80
70.41,-7.72,179.76
70.44,-7.71,179.72
70.47,-7.70,179.68
70.50,-7.70,179.63
