-,-,-,-,-,-,-,-,-,-,-,-
'w'
0.09,0.99,-0.04,-2.75,0.73,-0.61,0.99,2.91,265,645,72,141
0.08,0.99,-0.04,-3.54,-0.06,-0.31,0.99,3.55,240,644,72,139
0.08,1.00,-0.05,-4.21,-0.37,-0.85,1.00,4.31,244,644,83,136
0.08,0.99,-0.04,-1.77,-1.22,-1.65,1.00,2.71,280,651,91,125
0.08,0.99,-0.04,-1.04,-1.65,-1.95,1.00,2.76,254,655,95,109
0.08,0.99,-0.05,0.43,-1.83,-1.53,1.00,2.42,334,660,105,98
0.09,0.98,-0.04,1.71,-2.01,-0.61,0.99,2.71,361,669,111,76
0.09,0.97,-0.05,-1.95,-2.26,0.37,0.97,3.01,304,675,116,58
0.09,1.10,-0.07,-5.68,-3.54,-1.59,1.11,6.88,324,684,124,37
0.26,0.62,-0.47,27.47,-9.40,-14.89,0.82,32.63,349,693,128,23
0.06,0.89,0.09,38.70,-21.91,-15.62,0.90,47.13,334,701,136,13
0.04,1.17,0.10,34.42,-15.44,-26.31,1.17,45.99,286,720,137,5
0.09,1.16,0.04,7.14,-5.86,-47.67,1.16,48.56,274,730,144,2
0.10,1.28,0.03,-0.98,-1.59,-65.31,1.29,65.33,229,751,147,2
0.12,1.18,0.06,-4.88,3.48,-94.91,1.19,95.10,209,778,152,2
0.18,1.31,-0.04,-10.31,4.27,-116.15,1.33,116.69,184,806,153,0
0.24,1.51,-0.14,-7.69,-1.53,-152.89,1.53,153.09,136,827,151,0
0.24,1.47,-0.09,-0.79,-10.25,-200.68,1.49,200.95,97,835,148,1
0.38,1.85,-0.17,-25.27,-16.97,-258.00,1.90,259.78,72,823,123,0
0.49,2.39,0.20,-61.95,-14.53,-331.18,2.45,337.23,40,787,71,0
0.46,2.19,-0.11,-55.30,-1.65,-342.96,2.24,347.39,12,769,30,0
-0.02,2.08,-0.33,-53.89,-17.21,-362.73,2.11,367.12,4,748,10,1
0.05,0.74,-0.80,-134.09,-45.23,-287.60,1.09,320.53,1,697,0,16
-1.37,1.56,0.42,-89.78,-85.57,-43.52,2.11,131.44,1,678,0,16
-0.76,0.90,0.15,70.68,-32.53,168.27,1.19,185.39,1,675,0,11
-0.53,0.66,-0.13,129.94,-8.06,227.84,0.85,262.42,1,668,0,10
-0.36,0.30,-0.42,111.88,3.11,247.07,0.63,271.24,1,661,0,12
-0.46,0.46,-0.19,34.61,19.04,232.18,0.68,235.51,1,657,0,15
-0.43,0.95,-0.14,13.00,53.04,255.13,1.05,260.91,1,651,0,15
-0.16,1.01,-0.37,13.37,74.52,285.89,1.09,295.74,1,647,0,17
0.07,1.29,-0.40,-12.63,51.03,282.04,1.35,286.90,1,637,0,18
0.19,1.59,-0.43,-15.56,43.21,267.52,1.66,271.43,1,633,0,17
0.30,1.86,-0.41,-22.09,25.51,270.08,1.93,272.18,2,631,0,16
0.68,1.99,-0.42,-28.81,26.86,251.40,2.15,254.47,1,631,0,13
1.22,2.01,-0.35,-53.96,26.61,203.43,2.37,212.14,1,637,0,9
1.65,2.15,0.03,-68.60,24.05,153.32,2.71,169.68,1,643,0,8
1.88,1.82,0.49,-28.26,19.23,139.59,2.66,143.71,2,644,0,8
3.29,0.84,-0.38,61.28,16.48,137.51,3.41,151.45,2,644,0,9
4.00,3.30,0.88,-4.64,-80.51,60.30,5.26,100.69,2,646,0,24
-0.94,1.22,-0.35,162.72,-57.01,-240.66,1.58,296.05,3,495,0,81
0.05,1.26,0.07,31.74,2.69,-224.06,1.26,226.31,4,526,0,105
0.24,1.26,-0.09,-43.52,27.95,-98.88,1.29,111.59,23,478,0,121
0.10,0.98,0.00,15.62,-3.72,-8.91,0.99,18.37,150,516,7,128
0.05,1.01,-0.01,2.01,-1.34,-4.27,1.01,4.91,337,524,31,135
0.05,0.99,0.00,3.11,-0.24,-2.38,0.99,3.93,451,534,43,133
0.05,0.98,0.01,1.10,-0.24,-1.83,0.99,2.15,392,537,53,133
0.05,0.99,0.00,-2.81,-0.06,-1.34,0.99,3.11,501,540,58,130
0.05,1.00,-0.00,-5.37,-0.61,-1.95,1.00,5.75,515,546,65,121
0.05,1.02,-0.02,-3.66,-1.77,-3.60,1.02,5.43,480,554,74,106
0.06,0.99,-0.01,0.73,-2.93,-4.88,0.99,5.74,616,566,85,89
0.06,1.00,-0.01,0.98,-3.66,-4.52,1.00,5.90,505,577,90,72
0.06,1.02,-0.03,0.06,-5.37,-6.71,1.02,8.60,572,587,98,48
0.06,1.13,-0.06,2.69,-9.03,-14.83,1.14,17.57,590,607,107,32
0.09,1.01,-0.02,24.84,-10.13,-27.65,1.01,38.53,445,627,112,21
0.04,1.09,0.13,15.32,-12.63,-22.34,1.10,29.89,418,645,120,15
0.06,1.10,0.09,10.07,-11.54,-26.98,1.10,31.02,390,673,127,10
0.10,1.02,0.08,-2.56,-6.84,-39.55,1.02,40.22,342,689,132,7
0.11,1.07,0.08,-10.38,-1.53,-43.27,1.08,44.53,346,706,138,3
0.13,1.23,0.03,-16.11,0.67,-56.64,1.24,58.89,348,730,143,1
0.15,1.26,0.04,-18.55,1.89,-81.91,1.27,84.01,352,755,148,0
0.17,1.23,0.04,-19.10,4.64,-108.64,1.24,110.41,244,785,151,0
0.19,1.54,-0.03,-28.26,9.16,-141.91,1.55,144.98,180,821,151,0
0.19,1.82,-0.01,-30.70,4.70,-199.83,1.83,202.23,149,840,152,2
0.27,2.09,-0.00,-45.04,-2.56,-275.33,2.11,279.00,96,828,126,1
0.54,2.57,-0.15,-63.17,4.76,-389.40,2.63,394.52,31,784,61,0
0.21,2.71,-0.43,13.49,-7.02,-392.76,2.75,393.06,7,755,19,0
-0.63,0.31,-0.82,35.52,-16.36,-373.84,1.08,375.88,2,710,1,11
-0.76,0.02,-0.40,-33.87,-57.01,-175.35,0.86,187.47,1,675,0,15
-1.06,1.00,-0.03,16.17,-37.48,103.52,1.46,111.27,1,684,0,12
-0.72,0.58,-0.24,100.16,-33.33,185.73,0.96,213.63,1,675,0,12
-0.63,0.20,-0.40,91.13,-40.59,215.39,0.78,237.37,1,660,0,12
-0.76,0.40,-0.19,43.64,-25.57,235.05,0.88,240.43,1,661,0,16
-0.68,0.68,-0.09,26.55,49.19,273.68,0.97,279.33,1,658,0,15
-0.19,0.93,-0.41,-18.01,81.79,275.45,1.04,287.90,1,653,0,17
-0.05,1.55,-0.26,-35.16,89.78,278.56,1.58,294.78,1,647,0,15
0.28,1.71,-0.36,-10.74,95.34,280.03,1.77,296.01,1,643,0,18
0.61,1.89,-0.39,-2.32,104.31,275.70,2.03,294.78,1,636,0,15
1.14,1.97,-0.65,-0.06,111.76,251.65,2.37,275.35,1,632,0,15
1.54,2.08,-0.77,-15.62,89.66,199.34,2.71,219.13,1,634,0,8
1.82,1.88,-0.68,-27.28,56.21,145.32,2.70,158.19,1,638,0,9
1.95,1.69,-0.78,-26.73,30.64,113.46,2.69,120.53,1,629,0,8
2.64,0.12,-0.98,-57.43,-51.64,95.83,2.82,123.07,2,617,0,6
2.44,1.23,0.29,-148.68,-94.79,43.33,2.75,181.57,2,613,0,4
-0.02,0.82,0.17,141.97,-10.62,-182.74,0.84,231.65,3,553,0,26
-0.77,-0.88,1.16,280.40,59.81,-213.68,1.65,357.58,4,452,0,80
1.09,0.95,0.55,52.31,64.64,-224.43,1.55,239.33,7,484,0,117
0.07,1.56,-0.27,-60.91,21.24,-22.16,1.59,68.21,113,484,1,116
0.08,0.85,0.03,12.21,5.00,-4.70,0.85,14.01,285,501,19,135
0.05,1.00,-0.05,-0.61,0.43,-3.66,1.00,3.74,357,527,42,129
0.04,0.99,-0.05,-4.82,0.12,-2.14,0.99,5.28,378,533,52,126
0.04,1.01,-0.07,-2.87,-0.61,-0.73,1.01,3.02,384,538,59,120
0.04,1.00,-0.06,2.62,-1.89,-0.98,1.00,3.38,428,544,63,112
0.03,0.99,-0.05,5.13,-3.42,-1.89,1.00,6.45,548,555,69,93
0.04,1.01,-0.05,3.23,-3.91,-1.95,1.01,5.43,370,569,76,79
0.04,1.04,-0.07,7.08,-6.29,-5.68,1.04,11.04,394,586,86,56
0.07,1.02,-0.08,12.70,-8.91,-11.47,1.02,19.29,536,600,97,43
