-,-,-
0.20,0.92,-0.01,-3.66,-0.31,-4.03,0.95,5.45,177,762,115,0
0.20,0.93,0.00,-9.40,-0.98,-2.81,0.96,9.86,208,760,116,0
0.20,0.93,-0.01,-12.76,0.00,-2.14,0.96,12.93,252,754,118,0
0.20,0.96,-0.02,-19.84,1.83,-0.79,0.98,19.94,579,752,115,0
0.20,0.99,-0.05,-20.32,2.87,-0.73,1.02,20.54,245,747,117,0
0.21,0.96,-0.05,-17.58,2.99,-0.18,0.99,17.83,305,744,117,0
0.21,1.00,-0.07,-18.07,3.78,0.24,1.02,18.46,307,741,115,0
0.20,1.02,-0.08,-13.49,2.32,-1.53,1.04,13.77,305,739,112,0
0.20,1.00,-0.08,-8.61,0.79,-5.68,1.03,10.34,331,738,110,0
0.21,0.96,-0.07,-6.41,0.24,-6.04,0.98,8.81,550,740,107,0
0.21,1.00,-0.08,-7.14,0.49,-5.74,1.02,9.17,278,743,108,0
0.22,0.99,-0.09,-5.37,0.06,-8.67,1.02,10.20,293,744,107,0
0.22,0.97,-0.08,-1.95,-0.49,-9.83,1.00,10.03,250,748,105,0
0.23,1.00,-0.10,0.18,-0.67,-10.31,1.03,10.34,296,755,107,0
0.23,1.00,-0.10,3.36,-1.77,-13.85,1.03,14.37,228,763,113,0
0.23,1.00,-0.07,4.15,-2.38,-17.88,1.03,18.51,242,774,114,0
0.23,1.06,-0.08,2.20,-0.73,-26.25,1.09,26.35,229,787,114,0
0.26,1.26,-0.13,6.53,-1.34,-37.48,1.29,38.06,188,799,112,0
0.25,1.30,-0.06,22.28,-2.62,-56.76,1.33,61.03,135,806,102,0
0.25,1.52,-0.07,0.98,4.64,-80.87,1.54,81.01,56,786,80,0
0.38,1.57,-0.45,43.09,-2.14,-102.54,1.68,111.25,17,766,53,0
0.53,0.77,-0.51,83.50,-20.26,-109.31,1.06,139.04,4,725,22,0
-0.55,0.53,-0.36,43.15,-32.59,-27.89,0.85,60.85,2,693,1,3
-0.57,0.31,-0.37,31.19,15.99,13.43,0.75,37.53,2,688,0,5
-0.30,0.77,-0.28,-4.46,42.05,59.27,0.87,72.81,2,691,0,5
-0.33,0.69,-0.16,-6.65,42.05,66.41,0.78,78.88,2,685,0,5
-0.27,0.93,-0.02,-26.43,44.13,79.04,0.97,94.30,2,680,0,6
-0.15,0.99,0.04,-25.15,50.78,83.74,1.01,101.11,2,677,0,5
-0.07,1.09,0.07,-24.11,57.01,79.77,1.09,100.97,2,674,0,5
0.02,1.13,0.12,-19.41,66.89,71.29,1.13,99.67,2,674,0,3
0.20,1.16,0.12,-13.55,88.13,57.43,1.18,106.07,1,673,0,4
0.44,1.23,0.02,-8.97,96.68,37.60,1.30,104.12,1,674,0,2
0.58,1.16,-0.12,5.25,84.41,13.67,1.30,85.67,1,675,0,2
0.68,1.02,-0.27,14.77,54.32,8.61,1.26,56.95,1,680,0,0
0.78,0.79,-0.36,4.94,23.13,7.69,1.17,24.87,1,691,0,2
0.83,0.96,-0.22,-8.06,-4.33,-2.93,1.29,9.61,1,696,0,1
0.75,0.71,-0.14,-10.44,-25.88,-23.68,1.04,36.60,1,700,0,3
0.87,0.83,-0.05,-18.37,-36.44,-13.43,1.20,42.96,1,705,0,3
0.97,0.72,-0.12,-8.00,-51.64,-17.21,1.22,55.01,1,703,0,3
0.85,1.83,0.08,-16.30,-70.80,-22.34,2.02,76.01,3,730,0,4
0.29,0.59,0.21,35.89,-38.27,22.09,0.69,56.93,7,746,14,4
-0.05,1.35,0.07,-6.96,-38.21,58.04,1.35,69.84,23,724,31,0
0.12,0.96,0.07,12.15,-5.74,16.11,0.97,20.98,86,715,57,2
0.14,1.27,-0.18,-3.85,1.34,12.57,1.29,13.22,146,719,80,3
0.14,1.06,-0.10,23.44,-10.01,-14.83,1.08,29.49,204,722,98,2
0.12,0.92,0.07,18.86,-11.17,-17.40,0.93,27.98,322,721,116,3
0.14,0.93,0.00,1.71,-4.21,-11.54,0.94,12.40,298,717,126,4
0.15,1.01,-0.04,-2.32,-2.08,-6.35,1.02,7.07,302,715,133,2
0.15,1.05,-0.04,1.65,-3.05,-9.70,1.06,10.31,400,715,141,1
0.15,1.00,0.01,1.77,-2.93,-15.14,1.01,15.52,311,717,146,1
0.17,1.02,-0.04,-5.68,-0.79,-19.78,1.03,20.59,356,725,148,1
0.18,1.00,-0.00,-7.57,-1.10,-23.74,1.02,24.94,438,736,148,0
0.19,1.01,-0.03,-10.25,0.55,-27.71,1.03,29.55,298,747,147,0
0.20,0.98,-0.04,-11.41,0.24,-31.49,1.00,33.50,283,760,149,0
0.22,0.96,-0.04,-12.63,0.49,-31.74,0.99,34.16,336,770,149,0
0.24,0.92,-0.06,-10.74,0.98,-30.27,0.96,32.14,233,779,145,0
0.26,0.88,-0.06,-7.87,0.61,-25.21,0.92,26.42,236,784,146,0
0.26,0.90,-0.06,-5.98,0.61,-17.27,0.94,18.29,257,788,146,0
0.28,0.96,-0.09,1.28,-0.12,-10.50,1.01,10.58,225,790,147,0
0.28,0.92,-0.06,5.07,-1.40,-8.67,0.97,10.14,208,793,151,0
0.28,0.90,-0.03,2.87,-0.55,-5.49,0.95,6.22,258,797,150,0
