-,-,-,-,-,-,-,-,-,-,-,-




'w'













2.54,0.63,-0.00,2.87,152.83,101.93,2.62,183.73,2,833,15,16
2.08,1.19,0.69,-24.54,127.50,3.66,2.49,129.89,2,832,13,15
-0.30,3.46,0.24,4.15,97.11,-147.77,3.48,176.87,2,744,8,33
0.11,0.98,0.13,31.92,8.85,-191.53,1.00,194.37,2,627,8,61
0.30,1.69,-0.06,18.86,-5.43,-192.81,1.72,193.81,-50,998,11,105
0.31,1.00,0.04,21.61,2.99,-72.94,1.05,76.13,-45,1004,11,120
0.17,0.88,0.13,41.02,-5.07,-23.68,0.90,47.63,-41,1006,32,129
0.17,0.93,0.07,13.92,-0.24,-12.82,0.95,18.92,-41,1007,45,126
0.18,0.95,0.05,9.22,-0.85,-8.24,0.97,12.39,-39,1009,58,126
0.17,0.96,0.06,5.43,-0.49,-2.32,0.98,5.93,-40,1008,67,132
0.17,1.00,0.05,9.03,-1.16,-1.16,1.02,9.18,-38,1011,74,136
0.17,0.95,0.09,14.65,-1.71,-1.65,0.97,14.84,-39,1009,80,141
0.16,0.96,0.09,5.07,0.24,-2.14,0.98,5.50,-39,1008,88,137
0.17,0.98,0.07,4.33,0.79,-2.62,1.00,5.13,-39,1009,87,140
0.17,0.96,0.08,8.85,0.37,-4.09,0.98,9.76,-39,1007,88,138
0.17,0.95,0.09,8.30,0.49,-3.66,0.97,9.09,-38,1009,91,131
0.17,0.95,0.09,5.00,0.85,-2.81,0.97,5.80,-39,1009,93,127
0.17,0.97,0.09,2.99,0.98,-2.75,0.99,4.18,-38,1009,89,124
0.18,0.97,0.09,5.07,0.43,-4.58,0.99,6.84,-39,1009,92,120
0.18,0.96,0.09,6.71,-0.37,-5.55,0.99,8.72,176,507,93,107
0.19,1.00,0.09,7.57,-0.67,-5.13,1.02,9.17,-39,1008,92,111
0.19,0.91,0.11,8.12,-0.79,-2.75,0.94,8.61,-38,1006,95,108
0.18,0.95,0.12,1.65,0.18,-1.65,0.98,2.34,-38,1010,100,106
0.19,1.03,0.08,3.60,0.06,-6.41,1.05,7.35,-38,524,104,104
0.19,0.96,0.11,12.63,-1.71,-13.43,0.99,18.52,235,539,113,93
0.20,1.03,0.11,12.88,-1.95,-17.33,1.06,21.68,151,566,117,72
0.21,1.08,0.08,15.56,-3.42,-27.40,1.10,31.70,143,626,123,46
0.25,1.43,0.02,28.02,-8.85,-50.11,1.45,58.09,91,703,127,16
0.30,2.44,0.13,26.31,-10.74,-135.99,2.46,138.92,23,743,127,13
-0.12,2.37,0.24,54.32,-6.90,-248.60,2.38,254.56,8,743,112,12
0.13,2.93,-0.58,65.06,-20.94,-389.53,2.99,395.48,3,782,46,11
-1.94,-0.86,-1.50,111.63,-105.96,-312.38,2.60,348.24,2,755,17,24
-1.65,0.98,-0.57,-79.59,-152.34,-53.47,2.00,180.01,2,799,12,20
-1.25,-0.22,-0.75,-41.32,-92.83,-7.39,1.48,101.88,2,804,11,23
-1.16,0.40,-0.07,-133.67,-47.24,65.92,1.23,156.35,1,804,12,23
-0.82,0.40,-0.01,-118.10,-12.02,123.35,0.91,171.20,1,805,12,21
-0.64,0.66,0.10,-134.70,-30.58,159.61,0.92,211.08,1,810,11,22
-0.83,0.94,0.42,-138.49,-53.34,176.88,1.33,230.89,1,834,12,21
-0.66,1.40,0.93,-140.50,-52.19,186.71,1.81,239.42,1,842,12,21
-0.44,1.62,1.05,-123.11,-33.39,193.36,1.98,231.64,1,839,14,19
0.06,2.03,1.05,-69.58,-53.22,186.77,2.29,206.29,2,839,15,19
0.18,1.90,1.07,-40.28,-59.75,179.44,2.18,193.37,2,847,15,18
0.47,1.92,1.06,-48.10,-39.49,215.09,2.24,223.91,2,847,16,21
0.85,1.69,0.79,-22.34,7.32,217.96,2.04,219.22,2,844,17,19
1.78,1.55,0.68,-33.51,66.96,175.66,2.46,190.95,2,845,14,20
2.77,1.15,0.88,-0.06,73.73,100.65,3.13,124.76,2,842,16,19
3.71,3.17,0.50,7.45,53.65,-54.14,4.90,76.58,1,851,13,32
-0.90,-0.16,-0.10,126.40,-66.22,-201.11,0.92,246.59,1,726,10,64
-0.26,1.15,-0.11,63.96,22.22,-209.59,1.18,220.26,1,639,10,94
0.50,1.43,0.25,45.53,22.58,-178.71,1.53,185.80,-72,997,11,111
0.16,1.08,0.07,30.76,-4.09,-74.77,1.09,80.95,-51,1001,11,122
0.16,0.88,0.16,42.24,-4.88,-33.63,0.90,54.21,-42,1006,22,127
0.13,0.88,0.17,22.89,-2.20,-14.47,0.90,27.17,-41,1007,43,131
0.14,0.96,0.13,12.51,-1.34,-7.63,0.98,14.72,-40,1007,53,136
0.13,0.97,0.13,12.70,-2.50,-2.69,0.99,13.22,-39,1008,60,140
0.13,0.95,0.15,15.75,-3.42,-0.85,0.97,16.14,-40,1007,68,146
0.12,0.96,0.17,15.14,-3.42,0.12,0.98,15.52,-41,1008,65,149
0.11,0.93,0.19,4.58,-1.04,0.73,0.95,4.75,-41,1008,72,152
0.12,0.96,0.17,-2.26,1.16,1.46,0.98,2.93,-41,1008,67,152
0.12,0.96,0.16,-1.65,1.71,1.83,0.98,3.00,-41,1010,66,151
0.12,0.96,0.16,-1.22,2.26,2.50,0.98,3.59,-40,1008,63,143
0.11,0.96,0.16,-1.65,2.32,2.38,0.98,3.71,-41,1009,58,140
0.11,0.96,0.16,-1.71,2.38,1.10,0.98,3.13,-40,1009,57,142
0.11,0.96,0.15,-0.79,2.20,-0.92,0.98,2.51,-40,1008,66,136
0.12,0.96,0.15,-0.24,2.01,-2.20,0.98,2.99,-40,1008,72,133
0.12,0.96,0.15,0.61,1.59,-2.44,0.97,2.98,-39,1007,79,130
0.12,0.96,0.15,1.65,0.55,-2.56,0.97,3.10,-39,1008,88,131
0.11,0.95,0.16,-0.92,1.16,-2.38,0.97,2.80,-38,1008,95,128
0.12,0.97,0.16,-1.10,1.95,-6.23,0.99,6.62,-38,1010,105,124
0.12,0.95,0.16,-3.17,2.62,-9.22,0.97,10.09,-37,1011,112,113
0.13,1.00,0.15,-9.40,4.58,-11.47,1.01,15.52,-37,1010,119,91
0.15,1.20,0.08,-10.31,2.26,-19.78,1.21,22.42,305,579,129,59
0.15,0.99,0.13,12.63,-3.54,-33.94,1.01,36.38,265,624,134,24
0.10,1.49,0.19,-13.67,-3.85,-51.09,1.51,53.02,187,676,141,10
0.13,1.88,0.25,-15.32,-2.69,-111.02,1.90,112.11,139,726,147,8
0.12,2.52,0.10,-8.91,4.03,-221.62,2.52,221.83,65,758,143,3
-0.25,2.52,0.31,-1.40,5.55,-331.97,2.56,332.02,22,771,139,1
0.06,3.16,0.02,21.73,15.87,-452.64,3.16,453.44,6,819,73,1
0.03,2.56,-0.73,-18.31,-18.07,-457.21,2.67,457.94,2,800,27,10
-1.73,0.35,-0.83,-13.43,-73.43,-161.80,1.95,178.19,2,793,8,16
-1.19,1.19,-0.10,-43.03,-69.82,32.71,1.69,88.30,2,791,10,14
-1.16,-0.06,-0.35,-7.81,-17.03,97.72,1.21,99.50,1,788,9,15
-1.01,0.38,-0.14,-63.11,28.26,173.16,1.09,186.45,1,788,8,16
-0.79,0.50,-0.09,-65.55,51.33,217.65,0.94,233.03,1,790,11,16
-0.63,0.81,0.08,-75.01,46.02,271.67,1.03,285.57,2,792,11,17
-0.23,1.22,0.26,-54.50,15.44,288.88,1.26,294.38,2,807,9,17
0.09,1.49,0.56,-54.20,-44.98,277.40,1.59,286.21,2,811,12,15
0.10,1.73,0.61,-33.57,-65.12,237.79,1.84,248.82,2,815,14,17
0.31,2.14,0.58,-37.17,-78.31,247.25,2.24,262.01,3,814,14,16
0.66,2.20,0.75,-8.97,-81.30,225.65,2.42,240.01,3,824,15,16
1.44,2.23,0.88,12.76,-26.73,184.75,2.80,187.11,3,836,15,14
1.90,1.63,0.99,31.07,4.27,156.13,2.69,159.25,3,844,12,16
2.05,0.99,0.41,38.39,61.95,129.27,2.31,148.40,2,842,14,17
2.67,0.86,-0.09,23.38,99.06,54.87,2.80,115.63,2,844,12,15
2.43,0.68,1.50,-37.17,60.67,-27.65,2.94,76.33,2,845,12,24
-0.39,0.74,0.18,-55.54,54.75,-194.21,0.85,209.29,2,631,7,76
0.14,1.70,0.05,37.54,2.26,-271.36,1.71,273.96,3,541,13,119
0.33,1.01,0.14,58.78,1.34,-99.06,1.07,115.19,-52,1001,13,129
0.20,0.80,0.13,25.51,1.83,-37.90,0.84,45.73,-46,1004,22,134
0.07,0.89,0.11,8.48,0.79,-12.21,0.90,14.89,-43,1007,37,137
0.07,0.98,0.08,7.39,-1.83,-5.80,0.99,9.57,-41,1007,54,136
0.07,0.98,0.09,5.07,-1.53,-1.83,0.98,5.60,-40,1008,57,146
0.06,0.99,0.10,10.25,-2.14,15.20,0.99,18.46,-41,1007,62,151
0.05,0.96,0.12,7.20,-1.65,-0.06,0.97,7.39,-41,1009,63,147
0.05,0.95,0.13,0.24,-0.06,0.49,0.96,0.55,-42,1006,63,147
0.05,0.96,0.11,-6.65,1.71,1.71,0.97,7.08,-41,1010,61,151
0.05,0.99,0.09,-5.98,2.26,1.83,1.00,6.65,-40,1008,55,150
0.05,0.99,0.09,-0.67,1.95,0.98,0.99,2.28,-42,1007,58,148
0.05,0.98,0.10,3.17,1.28,-0.24,0.98,3.43,-40,1007,65,144
0.05,0.97,0.10,3.48,1.28,-1.28,0.97,3.92,-40,1008,66,143
0.05,0.97,0.10,2.32,1.65,-1.46,0.98,3.20,-40,1008,76,139
0.05,0.97,0.10,3.78,1.34,-2.32,0.98,4.64,-40,1008,84,137
0.05,0.96,0.11,1.83,1.65,-2.14,0.97,3.26,-40,1009,90,137
0.06,0.98,0.10,0.06,1.53,-2.20,0.98,2.68,-38,1009,94,131
0.06,0.98,0.10,0.18,1.40,-2.44,0.99,2.82,-38,1009,99,129
0.05,0.98,0.10,1.46,0.98,-4.88,0.99,5.19,-37,1009,111,125
0.05,0.96,0.12,-0.98,1.95,-8.85,0.97,9.12,-37,1009,121,107
0.07,1.01,0.09,-7.81,2.93,-13.12,1.01,15.55,-37,1009,129,90
0.09,0.99,0.07,-7.32,1.04,-18.55,1.00,19.97,260,591,135,53
0.09,1.04,0.07,7.63,-2.08,-22.83,1.05,24.16,296,628,140,18
0.03,1.94,0.16,-26.92,3.05,-60.91,1.94,66.66,182,703,150,9
0.12,1.95,0.08,-11.05,4.21,-160.22,1.95,160.65,89,755,157,6
-0.12,2.10,0.11,11.11,1.28,-229.61,2.11,229.89,41,785,157,3
-0.16,2.60,-0.03,9.40,1.34,-318.12,2.61,318.26,17,813,142,0
0.29,3.05,-0.32,79.47,-4.70,-412.17,3.08,419.79,4,848,81,2
0.91,2.55,-0.81,79.71,-41.08,-407.41,2.83,417.16,2,833,24,7
-1.59,-1.20,-1.51,75.26,-85.63,-197.45,2.50,228.00,2,820,11,16
-1.23,1.61,-0.09,-97.96,-58.04,30.33,2.03,117.84,1,835,9,15
-1.16,0.11,-0.44,-35.46,17.27,89.23,1.24,97.56,1,818,12,18
-0.95,0.55,0.00,-115.05,57.56,136.29,1.10,187.42,1,816,11,19
-0.78,0.61,0.28,-66.04,46.45,177.12,1.03,194.66,1,832,12,20
-0.59,0.61,0.57,-82.34,-9.64,220.52,1.02,235.59,2,832,13,18
-0.65,1.06,0.99,-52.06,-33.75,243.41,1.59,251.19,2,832,12,19
-0.46,1.06,0.80,-28.93,-24.60,253.36,1.40,256.19,2,827,12,18
0.00,1.46,0.63,-26.73,-17.70,236.45,1.59,238.61,2,824,13,17
-0.04,1.58,0.41,-19.35,-23.86,227.23,1.63,229.30,3,819,14,17
0.47,2.20,0.53,-12.88,-21.85,211.79,2.31,213.31,3,822,15,15
0.94,1.74,0.09,-12.82,17.46,181.76,1.98,183.05,3,816,14,15
1.65,1.87,0.19,-39.73,60.49,139.40,2.50,157.07,3,817,15,13
2.24,1.34,0.22,-26.00,103.39,133.24,2.62,170.64,3,807,15,13
3.85,0.98,-0.59,-37.54,78.19,23.99,4.01,89.99,3,786,13,19
1.05,1.65,-0.01,-25.15,20.20,-224.85,1.95,227.16,3,594,11,62
0.06,1.53,-0.01,43.88,-2.81,-254.21,1.53,257.99,-49,1001,11,109
0.27,1.33,-0.07,35.28,2.01,-90.09,1.36,96.77,-48,1002,15,125
0.27,0.84,0.11,48.83,2.62,-39.06,0.89,62.59,-43,1005,18,126
0.10,0.89,0.06,13.73,0.79,-14.10,0.90,19.70,-41,1006,31,125
0.10,0.93,0.05,-2.44,0.37,-5.25,0.93,5.80,-40,1008,48,125
0.09,0.97,0.04,-10.80,0.85,1.77,0.98,10.98,-40,1008,55,130
0.08,1.00,0.01,-11.17,0.12,2.26,1.00,11.40,-39,1007,58,136
0.08,1.01,-0.00,-4.33,0.73,0.18,1.02,4.40,-40,1010,60,142
0.09,0.98,0.01,2.14,0.43,-0.61,0.99,2.26,-39,1009,62,143
0.08,0.97,0.02,2.26,-0.06,-0.92,0.98,2.44,-39,1008,64,138
0.08,0.98,0.02,-0.85,0.12,-1.16,0.98,1.45,-39,1008,65,137
0.08,0.98,0.01,-3.11,0.92,-0.85,0.98,3.36,-39,1009,66,137
0.08,0.99,0.01,-1.95,1.34,-0.61,0.99,2.45,-38,1007,66,137
0.08,0.98,0.01,1.59,1.16,-1.10,0.98,2.25,-39,1009,65,136
0.08,0.98,0.01,3.60,1.22,-1.89,0.99,4.25,-38,1010,64,133
0.08,0.98,0.01,4.27,0.92,-2.32,0.98,4.95,-37,1008,71,126
0.08,0.97,0.02,4.46,0.79,-2.20,0.98,5.03,-38,1011,70,125
0.09,0.97,0.02,4.46,0.43,-2.20,0.97,4.99,-37,1009,74,123
0.09,0.97,0.02,2.08,0.24,-1.22,0.97,2.42,-38,1010,79,122
0.08,0.98,0.02,1.89,0.00,-1.22,0.98,2.25,-37,1010,84,116
0.08,0.97,0.03,0.85,0.24,-1.89,0.97,2.09,-37,1010,87,120
0.07,1.01,0.01,-2.50,0.98,-3.66,1.02,4.54,-37,1010,96,114
0.08,1.00,0.01,2.56,0.92,-10.62,1.01,10.96,-37,1009,106,94
0.10,1.02,0.01,5.86,0.18,-18.80,1.02,19.69,-36,1009,115,73
0.14,1.01,-0.01,11.96,-5.49,-26.43,1.02,29.53,286,587,122,38
0.12,1.07,0.05,18.25,-4.46,-37.48,1.08,41.92,253,641,131,16
0.14,1.45,0.00,-7.75,1.71,-76.42,1.46,76.83,234,683,141,10
0.27,1.60,-0.04,-15.62,8.91,-128.23,1.62,129.49,168,728,147,5
0.08,2.56,-0.06,-22.34,-3.78,-214.42,2.56,215.61,86,764,149,3
-0.19,2.56,0.03,-7.69,-6.29,-325.62,2.57,325.77,36,777,136,1
0.09,2.81,0.16,-42.91,-3.23,-437.74,2.81,439.85,10,812,69,1
1.04,2.08,-0.76,-97.53,-2.38,-452.82,2.45,463.21,3,767,24,7
-1.88,0.82,-0.54,-73.79,-74.34,-231.45,2.12,254.04,3,758,11,12
-1.01,1.12,-0.18,-20.32,-122.68,30.88,1.52,128.13,2,757,10,12
-1.28,0.25,0.05,14.89,-81.36,87.71,1.31,120.56,2,755,7,12
-1.13,0.39,0.07,22.52,-16.36,152.89,1.20,155.41,2,782,7,14
-0.94,0.31,-0.09,11.35,15.50,200.87,1.00,201.78,2,785,8,15
-0.72,0.84,0.02,-12.15,23.56,246.64,1.10,248.06,2,790,10,16
-0.45,1.03,0.02,-2.75,16.36,278.14,1.13,278.63,2,801,9,15
-0.30,1.34,0.07,-5.68,8.30,290.41,1.38,290.58,2,804,11,15
0.14,1.66,0.03,-8.54,7.81,271.79,1.67,272.04,2,804,10,13
0.07,1.93,0.10,-27.28,2.50,243.84,1.94,245.37,3,809,13,13
0.40,2.34,0.35,-10.44,22.46,237.49,2.40,238.78,3,810,13,12
1.19,2.16,0.06,-23.32,102.11,225.65,2.47,248.77,3,807,14,11
2.36,2.07,-0.01,-24.48,142.82,224.37,3.14,267.09,3,799,13,10
3.46,0.83,-0.80,7.69,121.77,153.99,3.65,196.47,3,783,11,9
3.71,1.10,-0.05,-52.00,44.68,70.56,3.87,98.38,4,780,9,11
2.43,3.54,0.62,-10.56,19.17,-75.13,4.34,78.26,3,740,9,24
-0.59,0.39,-0.13,-68.85,17.52,-227.54,0.72,238.37,3,564,7,80
0.15,1.62,0.04,16.48,13.12,-316.89,1.62,317.59,-56,998,9,119
0.36,0.97,0.07,22.40,5.86,-133.30,1.04,135.30,-47,1004,12,137
0.28,1.07,-0.00,6.29,-2.50,-16.17,1.11,17.53,-40,1008,16,136
0.11,0.91,0.05,2.62,-0.06,-11.05,0.91,11.35,-40,1008,30,133
0.11,0.94,0.03,2.08,-1.22,-5.00,0.95,5.55,-39,1009,46,134
0.11,0.98,0.01,-4.15,-0.55,-0.98,0.99,4.30,-39,1007,59,140
0.11,0.99,0.01,3.85,-1.04,0.61,1.00,4.03,-39,1009,62,146
0.10,0.98,0.02,4.64,-0.37,0.00,0.99,4.65,-40,1008,65,149
0.10,0.96,0.03,0.67,0.49,-0.61,0.97,1.03,-38,1008,67,144
0.10,0.98,0.02,-2.93,1.53,-0.43,0.98,3.33,-39,1008,68,147
0.10,0.99,0.01,-1.10,1.65,-0.31,1.00,2.00,-38,1010,68,146
0.11,0.98,0.02,3.91,1.71,-0.43,0.99,4.29,-39,1009,71,142
0.10,0.96,0.03,2.32,1.65,-0.67,0.97,2.92,-39,1009,73,135
0.11,0.98,0.01,0.55,1.71,-0.79,0.99,1.96,-39,1008,77,139
