-,-,-,-,-,-,-,-,-,-,-,-
'w'
-0.05,0.73,0.09,2.20,22.40,-175.05,0.74,176.49,0,0,0,80
0.24,1.28,0.20,39.31,10.13,-144.78,1.32,150.36,2,317,0,122
0.25,0.93,0.10,57.62,-3.48,-86.85,0.97,104.28,9,346,9,135
0.18,0.83,0.15,34.61,-0.06,-35.28,0.86,49.42,22,350,11,135
0.15,0.94,0.10,8.12,-0.31,-14.16,0.95,16.32,43,362,18,124
0.14,0.93,0.10,2.08,0.49,-8.42,0.95,8.69,64,381,24,124
0.14,0.95,0.09,-2.20,0.00,-5.37,0.96,5.80,90,399,41,118
0.13,0.97,0.08,-2.81,-0.92,-4.33,0.98,5.24,128,409,46,117
0.13,0.95,0.09,-1.34,-1.04,-3.85,0.97,4.20,173,421,53,116
0.13,0.96,0.09,-2.50,-1.10,-3.05,0.97,4.10,176,433,57,117
0.13,0.96,0.08,-2.62,-0.67,-3.17,0.97,4.17,163,439,62,115
0.13,0.97,0.08,-2.38,0.37,-3.97,0.98,4.64,199,446,69,107
0.14,0.97,0.08,-0.79,1.77,-4.58,0.98,4.97,320,457,73,101
0.14,0.97,0.09,0.12,1.71,-4.88,0.98,5.17,304,468,78,91
0.15,0.95,0.08,0.37,1.89,-5.31,0.97,5.65,312,475,84,80
0.15,0.96,0.08,1.46,1.40,-4.64,0.97,5.06,209,481,87,78
0.15,0.96,0.08,3.17,1.22,-4.15,0.97,5.37,211,487,89,67
0.15,0.95,0.09,2.99,1.10,-4.27,0.97,5.33,262,495,93,60
0.16,0.95,0.09,2.38,1.34,-4.03,0.97,4.87,354,504,96,51
0.15,0.96,0.10,1.53,1.10,-4.15,0.98,4.56,231,511,93,47
0.16,0.96,0.10,0.43,1.28,-4.70,0.97,4.89,218,526,102,38
0.16,0.96,0.09,-0.37,1.34,-5.13,0.98,5.31,198,539,105,30
0.16,0.97,0.09,1.34,0.67,-6.35,0.99,6.52,220,556,104,24
0.16,0.96,0.10,1.53,0.12,-7.87,0.98,8.02,184,575,110,15
0.17,0.98,0.12,2.69,-0.61,-9.70,1.00,10.09,208,600,117,10
0.18,0.95,0.10,2.87,-0.12,-10.50,0.97,10.88,281,621,120,6
0.19,0.96,0.10,-1.83,1.71,-11.35,0.99,11.63,176,643,122,2
0.18,0.98,0.11,-4.76,2.93,-15.14,1.00,16.14,176,670,122,0
0.17,1.12,0.11,-9.64,6.96,-31.37,1.14,33.55,126,708,132,0
0.18,1.24,0.15,-16.48,9.64,-56.76,1.26,59.89,76,757,136,0
0.20,1.38,0.19,-25.21,13.31,-86.73,1.41,91.29,38,790,136,0
0.22,1.35,0.17,-25.27,21.18,-118.59,1.38,123.09,21,805,134,0
0.17,1.41,0.19,-30.03,27.22,-169.80,1.44,174.57,13,820,121,0
0.31,1.46,0.18,-33.87,40.41,-209.11,1.50,215.65,6,837,85,0
0.50,1.26,0.02,-53.41,46.39,-233.34,1.35,243.82,3,826,40,0
0.61,0.80,-0.25,-75.26,38.27,-224.73,1.03,240.07,1,769,22,0
0.07,0.77,-0.16,-93.93,9.34,-172.18,0.79,196.36,1,731,8,0
-0.26,0.79,-0.01,-11.60,-28.56,-53.16,0.84,61.45,1,709,4,0
-0.39,0.60,-0.06,28.44,-51.94,22.71,0.72,63.42,0,0,3,1
-0.44,0.44,-0.06,41.81,-60.97,65.73,0.62,98.93,0,0,3,3
-0.51,0.38,-0.03,36.56,-55.42,103.52,0.64,122.98,0,0,2,4
-0.48,0.56,0.00,30.88,-33.69,168.82,0.74,174.90,0,0,2,3
-0.18,0.82,-0.05,23.13,-21.42,194.95,0.84,197.48,0,0,1,3
0.10,1.13,-0.04,6.29,-18.92,200.62,1.14,201.61,0,0,0,2
0.38,1.33,-0.05,0.67,-27.40,187.81,1.38,189.80,0,0,1,0
0.53,1.69,0.11,0.00,-40.77,164.79,1.77,169.76,0,0,2,2
0.60,1.55,0.19,26.73,-34.73,123.90,1.67,131.42,0,0,2,2
0.62,1.23,0.10,15.32,-26.31,105.71,1.38,110.01,0,0,2,0
0.75,1.25,0.11,-23.62,-15.69,96.50,1.46,100.58,0,0,1,2
0.98,1.10,0.18,-23.86,-7.51,134.03,1.48,136.35,0,0,2,1
1.12,0.95,0.34,-16.48,8.54,120.85,1.50,122.27,0,0,4,0
1.10,0.96,0.30,1.40,26.98,91.37,1.49,95.28,0,0,3,0
1.18,0.74,0.00,15.62,35.89,42.91,1.39,58.08,0,0,3,0
1.18,0.45,-0.16,10.44,22.03,28.93,1.27,37.83,0,0,2,1
0.53,0.50,0.18,-40.10,47.18,-96.92,0.75,115.01,0,0,0,20
0.15,1.41,0.04,36.68,31.01,-132.93,1.42,141.35,1,398,0,60
0.27,0.90,0.16,33.69,6.77,-104.19,0.95,109.71,4,336,1,105
0.19,0.94,0.11,31.43,-3.30,-46.57,0.96,56.28,17,343,4,118
0.15,0.98,0.08,5.49,0.73,-10.80,0.99,12.14,36,369,17,121
0.14,0.95,0.08,0.61,0.43,-5.00,0.96,5.06,57,386,24,118
0.14,0.94,0.09,-1.89,0.49,-1.40,0.96,2.41,101,389,30,125
0.13,0.96,0.08,-5.55,-0.06,1.22,0.97,5.69,129,395,36,125
0.13,0.97,0.07,-2.87,-0.67,-0.85,0.98,3.07,136,397,39,124
0.13,0.96,0.08,-0.92,-0.55,-0.98,0.97,1.45,160,401,43,127
0.13,0.96,0.08,-3.05,-0.98,-0.12,0.97,3.21,137,403,43,132
0.13,0.97,0.07,-2.56,-0.61,0.00,0.98,2.64,176,409,44,132
0.13,0.97,0.07,-0.43,0.43,-1.40,0.98,1.53,209,415,50,130
0.13,0.97,0.07,0.12,0.79,-1.95,0.98,2.11,264,422,54,126
0.13,0.96,0.07,0.92,0.98,-2.93,0.97,3.22,235,431,57,122
0.14,0.96,0.08,0.85,0.67,-3.05,0.97,3.24,253,437,64,116
0.14,0.96,0.07,0.79,0.61,-2.87,0.97,3.04,244,445,66,111
0.14,0.96,0.07,1.71,0.61,-2.75,0.97,3.29,193,451,67,111
0.14,0.96,0.08,2.38,1.04,-2.26,0.97,3.44,193,454,66,108
0.14,0.96,0.08,2.62,1.22,-2.87,0.97,4.08,222,461,72,104
