-,-,-
0.38,0.69,0.17,17.82,10.25,-14.28,0.81,25.04,15,822,112,0
0.40,1.03,0.09,16.05,-10.80,20.87,1.11,28.46,16,822,118,0
0.35,1.07,0.42,1.83,-31.31,-3.72,1.20,31.58,16,822,115,0
0.35,1.04,0.32,5.62,-2.32,-32.65,1.14,33.21,13,828,110,0
0.49,0.98,-0.10,30.76,-6.90,-33.81,1.10,46.23,9,823,93,0
0.47,1.23,0.31,-13.85,-54.26,-42.54,1.35,70.33,7,816,74,0
0.66,0.95,0.25,18.37,-23.38,-81.60,1.19,86.85,5,816,51,0
0.70,0.72,-0.21,54.57,-54.20,-85.27,1.03,114.83,2,794,27,0
0.96,0.56,-0.96,72.20,-111.94,-21.30,1.47,134.90,1,773,14,0
0.86,0.79,-0.81,-67.44,-193.85,15.99,1.42,205.87,1,765,6,0
0.73,0.95,-0.28,-122.25,-202.88,-16.30,1.23,237.43,0,0,5,1
0.41,0.71,0.31,-149.96,-151.25,-80.08,0.87,227.54,0,0,3,4
0.43,0.86,0.42,-110.41,-49.74,-72.45,1.05,141.12,0,0,2,3
0.60,0.97,-0.09,-85.75,-19.90,20.57,1.14,90.40,0,0,0,3
0.82,1.68,0.71,-100.59,-69.82,8.12,2.00,122.71,0,0,1,4
-4.00,-0.64,4.00,-457.95,-449.22,-516.91,5.69,823.84,1,659,0,12
1.66,-0.11,-2.46,577.39,302.31,-55.54,2.97,654.11,1,702,0,7
-1.36,2.60,-2.26,-249.82,-405.88,187.56,3.70,512.18,1,807,8,2
-1.04,1.08,3.63,-274.29,-298.40,-172.97,3.93,440.68,1,799,16,0
0.89,-0.31,-0.20,301.21,88.93,-76.84,0.97,323.33,2,794,32,1
0.73,1.79,1.41,-123.11,-86.98,54.93,2.39,160.43,2,802,36,0
0.46,0.73,-0.09,114.56,101.38,-42.05,0.87,158.65,2,804,28,1
0.51,0.48,0.08,-18.43,40.83,-11.41,0.71,46.23,2,803,24,0
0.56,0.57,0.18,-8.06,22.64,-5.62,0.82,24.68,2,804,29,0
0.49,0.55,0.15,-13.24,9.77,-0.92,0.75,16.48,3,816,37,1
0.58,0.85,0.19,0.98,30.21,11.66,1.05,32.40,3,830,52,0
0.64,0.97,-0.01,9.09,11.41,23.80,1.16,27.92,4,830,53,0
0.54,0.86,0.13,8.91,-13.06,-5.80,1.02,16.84,4,825,64,0
0.55,1.08,0.22,8.85,-28.81,7.39,1.23,31.03,4,835,68,1
0.45,0.70,0.28,24.54,-8.06,-30.64,0.88,40.07,4,834,70,0
0.49,0.84,0.50,-5.68,-3.72,-18.80,1.09,19.99,4,832,70,0
0.54,0.79,0.21,14.10,30.33,-29.97,0.98,44.91,4,831,66,0
0.60,0.74,0.12,6.16,12.39,-18.74,0.96,23.29,3,838,68,0
0.56,0.74,0.26,3.97,0.31,-27.47,0.97,27.75,3,835,60,0
0.56,0.92,0.39,-3.91,0.67,-22.89,1.15,23.23,2,841,51,0
0.55,0.69,0.33,-2.69,20.26,-39.61,0.94,44.57,2,838,37,0
0.58,0.53,0.36,-20.45,28.14,-31.86,0.87,47.17,2,831,31,0
0.63,0.52,0.10,-13.67,41.26,-17.52,0.82,46.86,2,832,25,0
0.67,0.66,0.03,-21.55,18.74,8.12,0.94,29.69,2,828,23,0
0.69,0.64,-0.07,0.43,10.99,5.49,0.94,12.29,1,830,22,0
0.66,0.60,0.10,-9.03,-16.97,22.16,0.89,29.33,2,828,21,0
0.58,0.77,0.24,-6.77,-6.96,10.07,0.99,13.99,2,825,23,0
0.63,0.86,0.09,13.67,8.79,7.14,1.07,17.75,2,822,20,0
0.62,0.76,0.19,-2.44,-8.30,-1.77,1.00,8.83,1,823,22,0
0.59,0.65,0.28,0.00,-3.23,-4.15,0.92,5.26,1,815,21,1
0.63,0.73,0.17,3.54,5.80,5.55,0.97,8.78,1,814,22,0
0.63,0.74,0.08,7.69,-1.22,2.93,0.97,8.32,1,812,22,0
0.63,0.73,0.21,2.20,-11.11,5.74,0.99,12.69,1,808,18,0
0.56,0.68,0.29,-3.48,-9.09,3.11,0.93,10.22,1,801,19,0
