-,-,-,-,-,-,-,-,-,-,-,-
'w'
0.01,1.02,-0.02,-1.04,0.00,-1.34,1.02,1.70,34,592,65,136
0.01,1.00,-0.00,2.93,-0.31,-1.46,1.00,3.29,31,600,76,137
0.01,1.00,0.00,5.37,-0.18,-1.71,1.00,5.64,27,603,82,139
0.02,0.98,0.02,-1.10,0.06,-0.79,0.98,1.36,32,601,93,138
0.02,0.99,0.00,-5.07,0.61,-0.37,0.99,5.12,55,594,98,143
0.01,1.01,-0.01,-3.97,0.67,-0.73,1.01,4.09,61,583,101,143
0.02,1.00,0.00,-1.40,0.24,-1.46,1.00,2.04,71,576,106,143
0.02,1.00,-0.00,-1.34,-0.98,-2.20,1.00,2.75,73,577,112,144
0.01,0.99,0.00,-1.71,-1.04,-2.08,0.99,2.88,83,575,115,139
0.02,1.00,-0.00,-1.83,-0.92,-2.56,1.00,3.28,79,581,122,135
0.02,1.00,0.00,-0.85,-1.53,-3.36,1.00,3.79,94,582,126,118
0.02,1.00,0.00,-0.98,-1.04,-3.60,1.00,3.87,57,588,132,104
0.02,1.00,-0.00,-0.43,-1.46,-4.15,1.00,4.42,112,593,142,97
0.02,0.97,0.01,2.99,-1.65,-4.21,0.97,5.42,117,595,141,85
0.03,1.00,0.00,1.59,-1.34,-3.97,1.00,4.48,149,602,148,77
0.03,0.99,0.00,1.77,-1.65,-3.97,0.99,4.65,128,604,147,66
0.03,1.00,0.00,2.93,-2.26,-4.52,1.00,5.84,165,611,152,55
0.03,1.01,0.01,4.15,-2.87,-5.80,1.01,7.69,132,629,155,43
0.04,1.02,-0.01,5.43,-4.33,-9.16,1.02,11.49,212,635,155,29
0.02,1.07,-0.01,16.97,-6.04,-17.64,1.07,25.21,132,661,160,17
0.05,1.01,0.03,21.06,-6.84,-22.22,1.02,31.36,235,677,164,12
0.06,1.07,0.04,15.69,-7.93,-26.49,1.07,31.79,189,708,164,5
0.05,1.20,0.13,3.36,-6.23,-39.79,1.20,40.42,128,742,169,3
0.07,1.23,0.10,5.25,-2.50,-54.20,1.24,54.51,110,760,173,4
0.08,1.43,0.08,-3.05,2.26,-77.33,1.44,77.42,86,792,172,1
0.09,1.49,0.11,7.69,2.93,-115.72,1.50,116.01,45,831,172,0
0.11,1.56,-0.09,6.96,5.74,-158.08,1.57,158.34,24,877,167,0
0.11,1.71,0.01,15.38,-1.16,-224.98,1.71,225.50,13,887,156,0
